jarðblettur	síblettur
jarðbotnur	símold
jarðbók	síyvirlit
jarðbót	sídyrking,røkt
jarðbundin	síforgeingiligur
jarðdýpd	síhædd
jarðeldur	síeldur
jarðfall	sífall
jarðfastur	sífastur
jarðfesta	síjarða,jarðarferð,rótfestast
jarðfestast	sírótfestast
jarðfiti	sígrót
jarðflati	síyvirflati
jarðfrost	síkavi
jarðfunnin	síaldrandi
jarðgass	síbrenni
jarðgrógvin	sífastur,forgeingiligur,førligur
jarðgrøni	sígrót
jarðhella	sígrót
jarðhús	síhøli
jarðiskur	síforgeingiligur
jarðkava	sífúka
jarðkavaguv	sírokilsi
jarðkavi	síkavi,rokilsi
jarðklettur	sígrót
jarðknøttur	síverøld
jarðlag	sílag
jarðleggja	síavlíva,kollvelta
jarðleysur	sífátækur
jarðligur	síforgeingiligur
jarðmeting	símeting
jarðolja	síbrenni
jarðormur	síkargakoka
jarðrok	síkavi,rokilsi
jarðroykur	sítoka
jarðrøring	síristing
jarðsamband	sísamband
jarðsangari	sísangari
jarðskjálvti	síristing
jarðskot	sílittóni
jarðskotin	sílitfarin
jarðsláa	síkollvelta
jarðslættur	síflatur
jarðspell	símissur
jarðsteinur	sígrót
jarðsøguligur	síaldrandi
jarðtala	sítos
jarðvarp	sífall
jarðyrkismaður	Samheiti:bóndafólk,bóndi,búkallur,búnaðarmaður,eigindómsmaður,fóðursmaður,fríbóndi,garðyrkismaður,gerðisfólk,gerðismaður,góðseigari,gyllinamaður,gyllinsmaður,haldbóndafólk,haldbóndakona,haldbóndi,haldfólk,harramaður,høldur,jarðarbrúkari,jarðareigari,jarðarfólk,jarðarmaður,jarðarognari,kongsbóndi,kongsmaður,landbúnaðarmaður,landfólk,lensharri,lensmaður,niðursetumaður,ognarbóndi,ognargenta,ognarmaður,óðalsbóndi,óðalsmaður,seyðabóndi,stórbóndi,traðarmaður,uppsitari,urtagarðsmaður,víngarðsmaðurlendur maður↔dyrka,dyrking,jarðarbrúk,jarðarstykki
jarkafinna	sípinkulingur
