umráðaveður	sígóðveður,veðurhvíld
umráði	sípláss
umráðing	síansni,veðurhvíld
umráðingartíð	sífrest
umreisa	sítúrur
umringa	síranda
umringaður	síavbyrgdur
umringdur	síavbyrgdur
umripiligur	sínasadjarvur,ófriðarligur,raskur
umripingarsamur	sínasadjarvur,ófriðarligur,raskur
umrøddur	sínavnframur
umrøða	síámæli,orðaskifti,siga,ummæli
umrøðuevni	Samheiti:aðalevni,aðalinnihald,aðalspurningur,dagsskrá,evni,fundarevni,fundarskrá,høvuðsinnihald,innihald,kjakevni,mál,málevni,málsevni,málsøki,neyðsynjarmál,sak,samrøðuevni,sermál,spurningur,stórmál,søguevni,søk,tema,tilfar,umtalsevni,upplegg,viðurskiftievni, mál, uppskot á skránni, til umrøðu, viðgerðar;framløga til kjak(klandursevni)stríðsevni,stríðsmál,trætuevni,trætumál,trætustykki↔áhugi,endamál,felagsmál,navnframur,orðaskifti
umseta	Samheiti:danska,føroyska,latína,norska,rangtýða,rátýða,snúgva,tolka,tulka,týðaflyta yvir í annað mál;týða, umseta til annað mál(útleggja)úttýðafinna eina meining við e-m;greiða frá meiningini;leggja út↔nágreina,týðing,umsetari
umsetari	Samheiti:tolkur,tulkur,týðari↔týðing,umseta
umseting	sítýðing
umseyma	síseyma
umsita	sípassa
umsiting	sírøkt,vald
umsíðir	Samheiti:best,einaferð,endiliga,loksins,tásta,tástaniat enda;at, í endanum;á evsta degi, evstu nátt, stund, í evsta tíma, evstu løtu, stund;ikki fyrr enn tá;í evstu;í síðstu løtu, síðstuni, til síðst;langt um leingi;tá fyrst, fyrsta, fyrstani;til endans;um síðir(nústani)nústa,nýsta,nýstaniikki fyrr enn nú;nú fyrst, fyrsta, fyrstani
umsjón	síeftirlit
umsjónarferð	sítúrur
umsjónarmaður	sívaktari
umsjónarráð	sívaktari
umskapa	síbroyta
umskapan	síbroyting
umskapast	síavlagast
umskaping	síbroyting
umskarast	liggja hvør inn yvir annan;liggja kant yvir kant;røkka inn yvir hvønn annan;skarast um(troma)ikki liggja slætt (um gólv o.fl.)↔nema
umskaring	sískoyti
umskiftan	síbroyting
umskiftast	síavlagast
umskifti	síbroyting
umskiftiligur	Samheiti:avgangandi,avgeingiligur,ávirkiligur,bráðskiftandi,brigdiligur,broytiligur,ferðandi,misjavnur,ójavnur,óregluligur,óreglusamur,óreglurættur,óstøðugur,óstøðuligur,regluleysur,skiftandi,svikaligur,umleypandi,ymis,ymiskur,ymisligur,ymissurav ymsum ættum;ikki á sama hátt;ikki um somu tíð;soleiðis upp og niður;○sum broytist, flytist;□hann ríður ímillum ættirnar;malingur, meldur er í veðrinum↔annarleiðis,avlagast,avlaging,broyta,broyting,fjølbroytni,fjølbroyttur,mislyntur,óvanligur,veðurhvíldAndheiti:reglubundin
umskifting	síbroyting
umskiftur	síumbýttur
umskipa	síbroyta,lossa
umskipan	síbroyting
umskiping	síbroyting
umskipla	síbroyta
umskiplast	síavlagast
umskipling	síbroyting
umskriva	síbroyta
umskriving	síbroyting,skrift
umskúla	síupplæra
umslag	síumvav,vernd
umsorg	síkærleiki,viðgerð
umsorgan	síkærleiki,viðgerð
umsorgarfullur	síeftiransin
umsókn	síkrav
umsóknarblað	síoyðublað
umsóknarbræv	síkrav
umsóknarmaður	síumsøkjari
umstøður	sílíkindi(r)
umsøkjari	Samheiti:umbiðjari,umsóknarmaður↔krav,oyðublað
umtak	síhugsan
umtal	síámæli,ummæli
umtala	sísiga,ummæli
umtalaður	sínavnframur
umtalsevni	síumrøðuevni
um ta tíðina	síta ferð
umtonktur	síklókur
umtosa	sísiga
umtóktur	sídáma
um tremur	síjavnstrokin
umval	síval
umvarðandi	sítýðandi
umvarp	sígrót
