vað	síbrúgv,fiskatorva
vásplagg	síklæði(r)
vátafok	síkavi
vátagler	síkavi
vátakavi	síkavi
vátakálk	síkavi
vátakembdur	síkemba,pyntaður
vátaroykur	síroykur,toka
vátaslettingur	síkavi
vátiskalli	sífuglur
vát klæði(r)	Samheiti:dalsaki,darvsaki,dassaki,hamur,karmur,kleppingur,klippingurgjøgnumvát, rennvát klæði↔illa ílatin,kloddakot,klæði(r),vatn,vatnast,vátur
vátla	síregna
vátlendi	síkelda
vátlendur	síbleytlendur
vátligur	síbleytlendur,vátur
vátoygdur	sísorgarbundin
vátta	síprógva
váttan	síjáttanSamheiti:álitisprógv,álitisváttan,árit,átekning,ávísing,eykaprógv,framíhjáprógv,mótprógv,prógv,próvbræv,próvgrund,próvmegi,sannan,sannføring,sannprógv,undirskrift,váttur,vitnisburðurmunnlig, skrivlig váttan(kvittan)býtisseðil,kvittanarseðilváttan fyri latin virði, latnan pening, latnar lutir(próvskjal)atgongumerki,atgonguprógv,avsláttarkort,áognarseðil,borgarabræv,búflutningsprógv,deyðaváttan,dópsseðil,eksamia,farseðil,ferðaloyvi,ferðapass,ferðarloyvi,ferðaseðil,flogferðaseðil,fríkort,frímerki,fulltrú,grindaseðil,gudfrøðiprógv,handilsbræv,heilsuváttan,heimaskiparaprógv,inngonguseðil,kalsbræv,kongabræv,koppaprógv,koyrikort,koyriprógv,leiðarbræv,limakort,limaprógv,loyvisbræv,lutaprógv,læknaváttan,læraraprógv,mánaðarkort,navnaprógv,partabræv,partaskjal,pass,postmerki,rentuseðil,reyðfiskaprógv,rúsdrekkakort,samleikaprógv,skamtanarkort,skilnaðarbræv,skiparaprógv,skjal,skúlaembætisprógv,sparimerki,sprittkort,starvsbræv,studentsprógv,stýrimansprógv,sukurkort,sveinabræv,sveinaprógv,teldukoyrikort,tjóðarprógv,tryggingarskjal,umboð,umboðsbræv,umboðsfulltrú,útflutningsváttan,vinnubræv,vígslubræv(ognarbræv)arvabræv,arvaskjal,avhendingarbræv,avhendingarskjal,festibræv,jarðarbræv,serognarbræv,skeyt,skeyti,skjal,skuldarbræv,testamentibræv upp á e-t;tinglisið skjal↔prógva,rættindi,semja
váttur	síjáttan,váttan
vátur	síbleytlendur,sjóringurSamheiti:alsveittur,baskaður,blotnaður,botnvátur,brunnvátur,buksuvátur,dassvátur,dálkaður,doðaligur,dossaligur,dossin,dossleittur,dossligur,dossutur,dovin,doysleittur,dravin,dravvátur,druknaður,dýggjandi,dýggjvátur,dývátur,døggaður,døggfallin,døggvátur,elddovin,flotvátur,floytivátur,gegnvátur,gjøgnumbloyttur,gjøgnvátur,hálvturrur,hálvvátur,hjómin,hjómutur,hosuvátur,illturt,ígjøgnum,ígjøgnumdruknaður,kaldvátur,kalin,kavstoyttur,kavvátur,klappaður,køstavátur,køstvátur,lekavátur,mjørkakendur,ókvensligur,pøðutur,rákaldur,rákamikil,ráligur,ráur,regngráur,regnligur,regnmikil,regntungur,regnvátur,rennvátur,reyvarvátur,serkjarvát,siljutur,sjóbaskaður,sjódálkaður,sjódrigin,sjókastaður,sjóvátur,slafsutur,slagin,slavin,slavutur,slevjutur,slevutur,slímutur,stúkuvátur,subbutur,surkutur,surputur,sveittavátur,sveittur,támur,támutur,tjúkkur,undirklæðavátur,uppafturblotnaður,vatndrigin,vatndruknaður,vatngingin,válsin,válsligur,vátligur,vætukendur,vætusamur,vætutungur,ælaligur,ælut(vatnmikil)vatnríkurat, á kroppi;dýggjandi, flótandi vátur;dýggj ígjøgnum;ránaður upp aftur;sum drigin frá grunni;sum ein baðað kráka, sum køsturin, sum sjódrigin, sjókastaður hundur;vatndrukkið sum ein sjøtlafjøl;vátt sum hundstrýni;vátur at kroppi, skinni;vátur frá uttast til innast;vátur inn á skinnið, inn í gjøgnum;vátur og válaður;□e-t, tað flýtur, stendur undir í vatni;nú er (longu) sett á grót, nú sæst á grótinum;tað drívur í vætu, er ráligt, vátt;tað er ikki fjøðurin, lúsin turr, tráðurin, trevilin turrur á kroppinum;tað er illturt av luft, vátt í veðrinum↔bleytlendur,bloyta,kelda,linur,regn,sevjumikil,spræna,sveitta,sveitti,vatn,vatna,vatnast,vatnfirrin,vát klæði(r)Andheiti:turrur
vátveður	síregn
ve	síbannan
vedda	síábyrgjast
veddan	síábyrgjast
vedding	síábyrgjast
veð	sítrygging
veðbræv	sílán
veðhald	sítrygging
veðhalda	síábyrgjast
veðhaldslán	sílán
veðlánsfelag	sílánistovnur
veðraflagg	síeyðkenni
veðrafrælsi	sífrælsi
veðragemlingur	síseyður
veðragjólingur	síseyður
veðrahorn	sídjórahorn
veðrakrov	sílikam
veðramerki	síeyðkenni
veðramót	sísjóvarilska
veðranetja	sífitievni
veðranøs	sínøs
veðrast	síslakna
veðrastavur	sístavur
veðri	síseyður
veðrur	síkallvera,seyður
veðrættur	sítrygging
veðseta	síábyrgjast
veðseting	síábyrgjast
veðsettur	síábyrgjast
veðskuld	sískuld
veðskuldarbræv	sílán
veðskuldari	sífátækafólk
veður	síkallvera,seyður,trygging,veðurlag
veðurbardur	síburturmataðurSamheiti:avbardur,bardur,brimbardur,dassleittur,forbardur,stormbardur,vásaligur,veðurbitin,vindbardur,vindgosin,vindtikinilla farin (av vindi);merktur av tíðarinnar tonn;merktur av veðri↔avgnagaður,burturmataður,matast burtur,slitin,slíta upp,uppslitin
veðurbit	síslit
veðurbitin	síveðurbardur
veðurfagur	sígóðviðrað
veðurfastur	síuppikastaður
veðurfestingur	síregn
veðurfuglur	sífuglur
veðurgóður	síinnløgupláss
veðurhani	sírekavætti
veðurharður	síveðurringur
veðurhvíld	Samheiti:glotti,glottur,hald,helming,helró,hvíla,hvíld,íhald,íhelmingur,ílýsing,írevl,íriv,íslit,ívista,klári,kvøldlúrur,lið,liningur,linking,linni,linningur,lokkaskái,lúrur,lygna,lygni,lækkingarská,løgi,maki,ská,skái,slit,slot,sloti,steðgur,tynning,undandráttur,vindskái,ælaslit,ælaslot,ælslitløgamillum t.e. millum óløgini;□hann er ílættur, íslitin;tað er ílýst, íslitið, ítornað;tað er omanturt;tað er turt millum ælini;tað lýsir, slítur í(veðurskifti)avgonga,avgongudagur,emming,ivaveður,ivingarlíkindi(r),ivingarveður,tvíættabil,tvíættaløta,tvørløta,tvørættardagur,tvørættarløta,umráð,umráðadagur,umráðaveður,umráðing,veðurlagsbroyting,veðurlagsskifti,ættalop,ættarskiftibroyting í veðrinum;umleypandi veður↔broyting,góðveður,íhald,klára í,maka,umskiftiligur,veðurlag
veðurkort	síatlas
veðurkønur	Samheiti:veðurskygdur,veðurskygnur(veðurmaður)ein sovorðin veðurmaður;veðurkønur maður;veðurskygdur maður↔veðurlag
veðurlag	sílíkindi(r)Samheiti:akurveður,arvaveður,giktarveður,gonguveður,heystveður,kavaveður,koyrilíkindi,kuldaluft,kuldaveður,kyrruvánir,loysningsluft,lúringardagur,maðkaveður,ormaveður,potuveður,rakstrarlíkindi(r),rekalíkindi(r),samveður,samviðri,seyðaveður,sílaveður,súpanarveður,várveður,veður,veðurlíkindi,veðurvánir,vetrarveður,vindluft(landveðurlag)landveður,meginlandsveðurlag(havveðurlag)oyggjaveðurlag↔ávaring,blikastillur,broyting,draga á luftina,góðveður,góðviðrað,illveður,klára í,regn,storma,terri,toka,tokutur,veðurhvíld,veðurkønur,veðurringur,vindur
veðurlagsbroyting	síveðurhvíld
veðurlagsskifti	síveðurhvíld
veðurlamb	síseyður
veðurlambsbløðra	síbløðra
veðurlambsfjall	síseyðarakstur
veðurlambshorn	sídjórahorn
veðurlambshølingur	síseyður
veðurlambshøvd	síhøvur
veðurlambskrov	sílikam
veðurlambsskurður	sídráp
veðurlambsstikul	síoddur
veðurlíkindi	síveðurlag
veðurljós	sítorusláttur
veðurmaður	síveðurkønur
veðurmerki	síávaring
veðurringur	Samheiti:ábært,ábærur,ástatt,ástøtt,baldrutur,balið,beiskur,dimmur,flogharður,gosleitt,gulmikil,harðbalaður,harðførur,harðligur,harður,harðvorðið,havdimmur,hvassur,hvirlutur,illfýsin,illveðursligur,illvíggjutur,ilsligur,ilsvíggjutur,kvøldljótur,myrkur,ófantaligur,ófýsiligur,ófýsin,ófýsisligur,ógóðsligur,ógvisligur,ógvuligur,ómildur,ónossligur,ósvivaligur,óterraligt,ótolandi,ótorgandi,ótýdligur,óveðursligur,ribbingsligur,ringur,rótarmikil,ruskutur,skarpur,snarpur,stormharður,stormmikil,strangligur,strangur,tráblásin,trávindaður,veðurharður,vindharður,vindmikil,vindsamur,vindutopin fyri vindi;□har er so ábært, balið, harðført, stormhart, veðurringt, vindut o.fl.;tað var ikki seglbært, ikki snotufrítt, ikki tespuligt;veturin var stormharður, veðurringur o.fl.↔aldutur,draga á luftina,illveður,illveðurshol,ódnardagur,sjóvarilska,storma,veðurlag,vindurAndheiti:góðviðrað
veðurrukka	sírukka
veðursettur	síábyrgjast
veðursjúkur	sísjúkur
veðurskifti	síveðurhvíld
veðurskygdur	síveðurkønur
veðurskygnur	síveðurkønur
veðurtíðindi	síboðan
veðurvánir	síveðurlag,illveðurshol,innløgupláss
vefta	sídreiva
veftast	síarbeiða
vega	síavlíva,berja,lyfta,slóða,viga
vegagerð	síarbeiði
vegakervi	síkoyrivegur
vegakort	síatlas
vegalongd	sístrekki
vegamót	síbroytingSamheiti:kjølbreyt,kjørbreyt,kjørubreyt,krossgøta,krossvegur(rundkoyring)kjørklingra↔koyrivegur
veganet	síkoyrivegur
vegarbeiði	síarbeiði
vegarendi	síkoyrivegur
vegari	síoddamaður
vegarstubbi	síkoyrivegur
vegarveit	síá
vegasamband	sísamband
vegastrekki	sístrekki
vegbugur	síbugur
vegbummur	sílás
vegbunga	síbugur,knykil
vegendi	síkoyrivegur
veggbrattur	sísteyrrættur
veggfellin	síkílaskapaður
vegghola	síhola
veggjagras	sígras
veggjahola	síbygningur
veggjahús	síbygningur
veggjakroysa	síbygningur
veggjald	síavgjald
veggjamold	símold
veggjapappír	sípappír
veggjardropi	sídropi,vatn
veggjarhol	síhola
veggjarhola	síbygningur,hola
veggjarklokka	síklokka
veggjarskáp	sígoymsla
veggjarsleggja	síróphol
veggjarsmátta	síbygningur
veggjaslýggj	sítari
veggjasmátta	síbygningur
veggrift	síá
veggur	síbergSamheiti:afturveggur,bak,baksíða,barðveggur,borðklædningur,borðveggur,borgarmúrur,botnur,bólgarður,bróst,endaveggur,endi,fjallveggur,fjósveggur,flagveggur,flati,flatsíða,forsíða,framsíða,framsjón,galvur,garðabak,garðsbak,grótflógv,grótveggur,hallarveggur,hjalsvarði,hjalsveggur,holuveggur,húsagumpur,húsaskjøldur,húsaveggur,húsbak,húsveggur,innanveggur,innsíða,kinn,kirkjuskjøldur,kistugalvur,klædningur,langsíða,langveggur,lið,mergsíða,millumgerð,múrur,neystaveggur,revlaklæðing,rimaveggur,roykstovubróst,roykstovuveggur,roysni,roysnisveggur,roystisveggur,rættarbak,rættarbotnur,síða,skálaveggur,skilarúm,skilaveggur,skjólveggur,skjøldur,skott,snibbaskjøldur,snibbi,songargalvur,sornkersveggur,stovubróst,stovuveggur,støðugarður,súðklædningur,trappuskjøldur,tvílað,uppsíða,útflógv,útsíða,útveggur,vangi,varði,viðarklædningurtvílaðaður grótveggur, veggur;kinningur (t.e.) bógvur↔flati,garður,rimaverk
veggvaksin	síkílaskapaður
vegjaðari	síútlinja
vegleggja	síslóða
vegleiða	Samheiti:aga,beina,leiðbeina,læra,menta,rættleiða,siða,stýra,venjaala, fóstra, læra, venja upp;beina (aftur) á leið;beina á veg;fáa e-n til fólk;fáa høvd upp á e-n;fáa fólk burtur úr e-m;geva leiðbeiningar;halda í oyruni á e-m;hava (eina) hond á e-m;hava undir aga;kasta teymar fyri e-n t.e. temja;liggja í oyrunum á e-m;læra e-n at skikka sær (væl);læra e-n fólkasið, fólkaskikk;læra e-n uppi at sita;seta skikk á e-n;venja e-n við e-t;venja til mans↔leiðbeinari,leiðbeining,leita ráð,tænastuveiting,upplæra,uppskot
vegleiðari	síleiðbeinari
vegleiðing	síleiðbeining
veglendi	síjarðarstykki
vegligur	sígóðsintur,pyntaður,sjógóður,vakur,villigur
veglongd	sístrekki
vegnavinskap	Samheiti:av vinskapi,í vinafylgi(av góðum vilja)av góðvild,í bestu meiningav góðheit, góðleika, góðsku o.fl.;av næstakærleika↔blídni,góðsintur,hjálpsamur,hjálpsemi,kærleiki,yndisliga
vegrist	síinngongd,skiljari
vegskattur	síavgjald
vegskreiðing	síhalli
vegsneiðing	síbugur
vegstubbi	síkoyrivegur
vegur	síarbeiðslag,koyrivegur,stevnuleið,strekki
vegveit	síá
vegvísari	síleiðbeinari
vegvísi	síleiðbeinari
vegøksl	síkoyrivegur
veiða	sífiska,fiskiskapur,fleyga,fongur,reka seyð,veiðingSamheiti:fanga,jaga,jagta,jaktafara, vera til látra;sláa, veiða kóp;søkja t.e. reka veiðu↔bakkagonga,fella,fiska,fleyga,fongur,grindarakstur,jagstra,skjóta,veiðimaður,veiðing
veiði	sífiskiskapur,fongur,veiðing
veiðiamboð	síamboð
veiðibann	síforboð,friðing
veiðidagur	síinnløgutíð
veiðidjór	sídjór
veiðidýr	sídjór
veiðieydna	síeydna
veiðifalkur	sífuglur
veiðifall	sífall
veiðifar	sísjófar
veiðiferð	sífiskiskapur,veiðing
veiðifloti	sísjófar
veiðiføri	síamboð
veiðigrøv	sífella
veiðiháttur	síarbeiðslag
veiðihugur	sífiskihugur
veiðihundur	síhundur
veiðiklógv	síeydnismaður
veiðilendi	síjarðarstykki
veiðiloyvi	sírættindi
veiðilóg	sílóg
veiðilyst	sífiskihugur
veiðimaður	síeydnismaðurSamheiti:byrsudólgur,byrsumaður,grindamaður,harumaður,hvalaveiðimaður,jagari,jagarsveinur,kastingarmaður,kópaveiðimaður,skjútti,skotmaður,skyttari(bjargamaður)athyggingarmaður,bakkamaður,bakkaskipan,dráttarmaður,dráttrarmaður,eftirhyggingarmaður,eggjarmaður,fleygamaður,fleygingarmaður,fuglamaður,fyglingarmaður,sigmaður,sígingarmaður,undirløgumaður,undirsetumaður,undirsitari,undirsitingarmaður,upsarmaður,viðsetumaður,viðsitingarmaður↔sjómaður,veiða,veiðing
veiðing	sífongurSamheiti:djóraveiða,dýraveiða,fuglaskjóting,fuglaveiða,grindadráp,haruskjóting,hvalaskjóting,hvalaveiða,jagt,jakt,kópasláttur,kópaveiða,selaveiði,skjóting,stórhvalaveiða,stuttleikaveiða,veiða,veiði,veiðiferð↔bakkagonga,fella,fiska,fiskiskapur,fongur,grindarakstur,veiða,veiðimaður
veiðingarhundur	síhundur
veiðirót	síeydnismaður
veiðirættindi	sírættindi
veiðiskip	sísjófar
veiðispell	símissur
veiðispjót	síknívur
veiðistaður	sístað
veiðistuldur	sístuldur
veiðitjóvur	sítjóvur
veiðitrøll	síævintýrhugtak
veiðivarur	sístyggur
veiftra	síheilsa,førka,vifta
veiggi	sígagn
veiggj	sígagn
veiggja	síførka,rugga
veikabátur	sísjófar
veikalamb	síseyður
veikalív	sísjúklingur
veikansskapur	síóndskapur
veikanstíð	sínoktan
veikin	síSátan
veikja	símáttsúgva
veikla	símáttsúgva
veiklaður	síútmøddur
veiklast	sísjúklast,troyttast,versna
veikleiki	síbrek,máttloysi
veikligur	síkraftleysur,kvirrur
veiklingur	sívánamaður
veiklyndi	símótloysi
veiklyndur	sílítillátin,mótfallin
veikmentur	sífullmannaður,kraftleysur
veikmæltur	sífámæltur,mæltur
veikur	síbrákaligur,dygdarleysur,kraftleysur,kvirrur,lampuveikur,sjúkur,smakkleysur
veil	síá,dalur,kluft,rukka
veila	síá,dalur,kluft,rukka
veilur	síbrotin
veingir	síveingjavídd
veingisbrot	síbinda
veingjabreiði	sílívd,veingjavídd
veingjabrestur	síljóð
veingjadun	síljóð
veingjaflog	síveingjavídd
veingjahurr	síljóð
veingjaportur	síinngongd
veingjarbrotin	síbrekaður
veingjaslag	síljóð,veingjavídd
veingjasláttur	síljóð,veingjavídd
veingjasuð	síljóð
veingjavídd	síáskoðanSamheiti:flog,veingir,veingjabreiði,veingjaflog(veingjaslag)flog,slag,sláttur,veingjasláttur↔flúgva,sveimandi
veip	síveipan
veipa	síførka
veipadráttur	sídraging
veipan	Samheiti:armsveiggj,reiggj,sveigging,sveiggj,veip,veiping(beinsveiggj)sveiggj við beini, beinunum↔útrættur
veipandi	sístoltur
veiping	síveipan
veit	síá
veita	sídyrka,geva,turrleggja
veitarbakki	síbakki
veitarbotnur	síbotnur
veitarførur	sísterkur,tilkomin
veitari	sígevari
veitarleggur	síá
veitarvatn	sívatn
veiting	síavgjald,á,gáva
veitingarførur	síríkur
veitingarrør	sívatnleidningur
veitingaskip	sísjófar
veitsla	síát,gáva,veitsluhald
veitslast	síhalda veitslu
veitslubúni	síklæði(r)
veitsludagur	síhátíð
veitsludámur	síhátíðardámur
veitslugáva	sígáva
veitsluhald	Samheiti:aktingargildi,ársgildi,ársveitsla,átfundur,átgildi,átveitsla,ball,bátsgildi,blótveitsla,brúðarhús,dansigildi,dansiveitsla,desasneið,desasneis,doktaragildi,drekkja,drykkja,drykkjulag,drykkjumál,drykkjuveitsla,døgurðaveitsla,endaveitsla,fest,festarøl,fjallgildi,fjallmannagildi,garðarær,garðaseyður,garðær,gestaboð,gildi,gildishald,grýlugildi,grýluveitsla,harugildi,heiðursveitsla,heystgildi,jólaveitsla,kokkagildi,konufólkaveitsla,konugildi,korngildi,lag,neytakonugildi,nýggjárshald,næmingaveitsla,ólavsøkuhald,pisuveitsla,reisigildi,samanskotsgildi,samsæti,sigursveitsla,sjónarøl,skilnaðarveitsla,sólarkaffi,stovugildi,vaðans,vaðansgildi,vaðhald,veitsla,veitslulag,veitær,veitæragildi,vertskapur,vetrargildi(brúdleyp)diamantbrúdleyp,gullbrúdleyp,heimabrúdleyp,hungursbrúdleyp,koparbrúdleyp,krúndiamantbrúdleyp,jarnbrúdleyp,oyggjarbrúdleyp,silvurbrúdleyp,sóknarbrúdleyp,summarbrúdleyp(minningarhald)ervi,flaggdagshald,føðingardagshald,hald,halgihald,hátíðarhald,jólahald,minning,minningargudstænasta,páskahald,sorgarmáltíð↔aftan,át,glaður,gleða ein,gleðast,gleði,gleðirómur,halda gleim,halda veitslu,hátíð,stuttleiki
veitsluhýrur	síhátíðardámur
veitsluhøli	síhøli
veitslukendur	síhátíðarligur
veitsluklæddur	sípyntaður
veitsluklæði(r)	síklæði(r)
veitslulag	síveitsluhald
veitsluligur	síhátíðarligur
veitslumaður	sídrankari
veitsluprýddur	sípyntaður
veitslurómur	síhátíðardámur
veitslurøða	sítos
veitslusalur	síhøli
veitslusangur	sísangur
veitslusiður	sívani
veitsluskrýddur	sípyntaður
veitsluspillari	síóflýggjakroppur
veitslutíð	síhátíð
veittra	síførka,heilsa,vifta
veittur	síævintýrhugtak
veitær	síseyður,veitsluhald
veitæragildi	síveitsluhald
veking	sívekja
vekingarfundur	sífundur
vekingarklokka	síklokka
vekingarmaður	síoddamaður
vekingarur	síklokka
vekja	síelvaSamheiti:begynna,boðafáa at vakna;fáa e-n undan dýnuni, úr bólinum, fjaðrunum, seingini;purra út;seta klokkuna at vekja;seta vekjaran frá;vekja til lívs;vekja upp;vekja upp frá deyðum;vekja úr blundi, dvala, svøvni(vekra (e-n))halda e-m vakandi(veking)útpurring↔alvakin,andvekur,lívga,vaka,vakna,vaktarhaldAndheiti:rura
vekjaraklokka	síklokka
vekjari	síklokka
vekk	síógvuliga
vekra	sívekja
vekraður	sísvøvntungur
vekrast	sívakna
veksa	síleggja afturat
veksil	sílán
veksla	síbroyta
vekt	síroysnissteinur,tyngd
vektarahús	síbygningur
vektarbúð	síbygningur
vektari	sívaktari
vektlyfting	síkapping
vekur	síandvekur
vel	síafturpartur
vela	síkallskøp
velafjøður	síafturpartur
veldi	sílíkindi(r),mikilleiki,statur,vald
veldiga	síógvuliga
veldigt	sífrálíkt
veldigur	sífrálíkur,hábærsligur,høgur,mikil
veldiliga	síógvuliga,passaliga
veldiligur	síhóskiligur
veldisharri	síaðalsfólk
veldismaður	síaðalsfólk
veldismikil	síhábærsligur
veldissproti	sístavur
veldisstavur	sístavur
veldisstólur	sísessur
veldisverk	síroysnisgerð
velfjøður	síafturpartur
velhvítaungi	sífuglur
velhvíti	sífuglur
velikur	sípinkulingur
velja	síútnevnaSamheiti:atkvøða,hagreiða,kjósa,kjøra,kloykja,kora,stemmaatkvøða blankt, við navnakalli;fara á val;fara til valborðið;greiða atkvøðu;kjósa sær eitt;kjøra sær út;pilka, taka, velja frá, úr, út;pilka, velja burturúr(hava at velja í, ímillum, í at velja)hava gott í boði, vali;kunna velja(standa einum í boði)vera í at velja;□eg ein stóran og tú ein lítlan;teir bæði býttu og tóku (sjálvir)↔úrval,útnevna,val,valdur,valmøguleiki,ymiskt
veljarafelag	sífelag
veljarafundur	sífundur
veljarakanning	síkanning
velking	sísjóvarilska
velkingar	sísjóvarilska
velkja	síherkja
vella	sífloyma,gera aldu,kóka,leka
velta	sídyrka,gera aldu,jarðarstykki,kollvelta
veltandi	síúrtøkugóður
veltast	síbólt,gera aldu
velthaki	síknívur
veltibiti	síhúð
veltilendi	síjarðarstykki
velting	sídyrking
veltingaramboð	síamboð
veltingarbløðra	síbløðra
veltingarhaki	síknívur
veltingarjørð	síjarðarstykki
velturok	sítoka
velturoykur	sítoka
vena	sígremja seg
venan	sígremjan,stynjan
venast	sígremja seg
vend	síbroyting,streymur,viðbragd
venda	síbroyta,heysta,horva,sigla
venda aftur	koma aftur, afturíaftur, aftur í aftur;koma afturum aftur;mala aftur á blóðið;snúgva aftur (av, frá e-m), (á, til e-t);venda aftur;venda við;venda heim, inn aftur;venda undan, við aftur↔fara,finna veg,vinna heim
vendi	síviðbragd
vendilókur	sívánamaður
vending	sístreymur,viðbragd
vendingarfuglur	sífuglur
vendingarseiður	sífiskur
vendingarælingur	síregn
vendipláss	sífarstøð
vendisperðil	sívingliskøltur
venilsi	sígremjan
vening	sígremjan
venja	sílæra seg,uppaling,upplæra,vani,vegleiða
venjing	síuppaling
venjingarbúni	síklæði(r)
venjingardystur	síkapping
venjingarferð	síuppaling
venjingarlega	síuppaling
venjingarskúli	sískúli
ventilur	Samheiti:lokasmog,slúsa(krani)víntútur↔floyma,leka,proppur
vera	síbíðan,búgva,bústaður,henda,liva,merkja,persónur,skikka sær
vera arbeiðsførur	síarbeiðsførur
vera bersøgin	síbersøgin
vera bíligur	síbíligur
vera blindur	síblindur
vera brákaligur	síbrákaligur
vera brekaður	síbrekaður
vera deyður	sídeyður
vera djarvur	sídjarvur
vera drukkin	sídrukkin
vera eftiransin	síeftiransin
vera fátækur	sífátækur
vera fullkønur	sífullkønur
vera fyri ólagnu	síóheppin
vera góðsintur	sígóðsintur
vera hálvdeyður	síhálvdeyður
vera heppin	síeydnuberandi
vera hóvsamur	síhóvsamur
vera javnir	síjavnviga
veraldarbardagi	síkríggj
veraldarbókmentir	síbókaheimur
veraldargitin	sínavnframur
veraldarhav	síhav
veraldarkollvelting	síbylting
veraldarkort	síatlas
veraldarkríggj	síkríggj
veraldarligur	síforgeingiligur
veraldarstríð	síkríggj
veraldarsøga	sífrásøgn
veraldligur	síforgeingiligur
vera matfegin	símatfegin
vera mettandi	símetta
veran	síbíðan,gerandislív
verandi	síáhaldandi,tíðarhóskandi
vera nærlagdur	sívanda sær
vera orðkringur	síorðkringur
vera óheppin	síóheppin
vera ósekur	síósekur
vera ótakksamur	síótakksamur
vera rakfallin	sírakfallin
vera sibbi	sísibbi
vera smásárur	sísmásárur
vera til	síliva
vera til avlops	síleypa av
vera til bakka	sífleyga
vera útføttur	síútføttur
veravælkomin	sífagna
verdigur	Samheiti:verdugur,verdur,verðigur,verðugurnóg góður (til...);○sum er verdur e-t, hevur e-t uppiborið;□hann eigur æruna av at...;hann eigur, hevur rós uppiborið, uppiborna;tað er honum fyri at takka at...;tað er honum væl unt↔mannsømandiAndheiti:óverdigur
verdóttir	sískyldfólk
verdugur	síverdigur
verdur	símatur,verdigur
verð	síverøld
verða	síhendaSamheiti:blíva,gerastbroytast, umskapast til e-t;fáa seg...;verða at e-m, til e-t↔henda,hending,liva
verða bardur	antin fáa á vøddan ella flossan;fáa eina fleingju, oyrafiku, smyrjing, strokan o.fl.;fáa ein (brest) á nasarnar, í afturpartin, í reyvina, undir vangan;fáa ein leðrara, skekil, títlingabrest, umgang o.fl.;fáa eitt høgg, kjálkaslag, nevaslag, tuskilsi o.fl.;fáa flata hond(ina), knýttan neva(n);fáa síni sjey;fáa, smakka homlubandið, koyrilin, reimina, tampin;verða avlamdur, blóðsoraður, bøðilsbankaður, húðflongdur;verða bukaður, kliktur, lamdur, sligin o.fl.;verða givin upp í bøðilshendur;verða illa viðfarin, lagdur upp á lærið, tikin við hørðum;verða roðaður til↔avbardur,berja,berjast,duk
verða fyri ongum	sífána
verða gitin	sítvílívað
verða happaður	fáa ringa viðferð;gera skitið arbeiði fyri onnur;kenna seg forfjónaðan, forfylgdan, útihýstan o.fl.;koma undir happið;liggja, vera fyri happinum;njóta, royna ilt av e-m;vera argapisa, happabarn, haturfuglur, kastikleppur, o.fl.;vera flórskøva fyri onnur;vera fyri parrakinum;vera plukkufuglur millum fólk;vera rukka, vera rukkan umborð;vera til láturs;verða happaður og hagaður, háðaður og spottaður;verða havdur til gissil, skræddur úr skonkunum;verða illa hagreiddur, tuskaður, viðfarin;verða speirikin, útflentur o.fl.↔eyðmýking,illa dámdur,kastibløka,spotta,spottaður
verðarstampur	síkassi
verða útkoyrdur	símissa starvið
verðigur	síverdigur
verð(in)	síverøld
verðleysur	síbíligur,dygdarleysur
verðsla	síbátadráttur,jarðarstykki
verðsligur	síforgeingiligur
verðugur	síverdigur
verður	símatur
verfaðir	sískyldfólk
verforeldur	sískyldfólk
verfólk	sískyldfólk
verilsi	síhøli
verja	sífyribyrging,klæði(r),umvav,verja annan,verja seg,verndSamheiti:bøta,forða,forsvara,fyribyrgja,hindra,verndabinda um heilan fingur;byrgja, bøta, verja fyri;gera e-t til varavissu;kava úti fyri e-m;møta fyri;nýta fyribyrgjandi evni(snippa)bakka í hálku;slíta samlegu↔ansni,bjarga,eftiransin,eftirlit,eira,fyribyrging,passa,vaktarhald,vaktari,verja annan,verja segAndheiti:herja
verja annan	Samheiti:vaktabera í bøtuflaka, bøtur fyri e-n;biðja fyri e-m;bróta nasar (fyri e-n);forsvara e-n;ganga í forbøn, fyribøn fyri e-m;halda hondina yvir e-m;halda vakt (yvir e-m);ofra seg, svara, vága fyri annan;standa, vera á vakt, varðbergi, varðhaldi;standa (sum) verja, verji fyri, um e-t;stíga í stálbrøkur (fyri e-m);taka á seg ábyrgdina fyri annan;taka í forsvar;taka skrædlið fyri annan;taka skuldina, skyldina upp á seg;taka útyvir við e-m;taka vaktina (fyri e-n);veðhalda fyri annan;vera pottalok fyri annan;vera skotbjálvi (hjá øðrum)↔ansni,bjarga,eftiransin,eftirlit,fyrigeva,passa,vaktarhald,vaktari,verja,verja seg
verjari	sívernd
