vað	síbrúgv,fiskatorva
vald	Samheiti:ákæruvald,áraræði,dómsvald,dómsveldi,embætismannavald,embætisvald,formansskapur,forræði,forseta,forsæti,fólkaræði,fremmandavald,fullræði,fullveldi,fyrisiting,fyristøða,fyrisæti,gerðavald,hald,harradømi,harraveldi,heilsuvald,heimaráð,heimaræði,heimastýri,hersetingarvald,hjálandaveldi,kongsvald,kongsveldi,lóggávuvald,makt,mekt,myndugleiki,møðraveldi,ráð,ríki,ríkisvald,ræði,sjálvræði,skattavald,skrivstovuveldi,stjórnarvald,stýrisvald,tamarhald,teymahald,tjóðræði,trímannaveldi,umboðsvald,útinnandi vald,valstýri,veldi,yvirbrigði,yvirburður,yvirluti,yvirmakt,yvirráð,yvirræði,yvirstjórn,yvirvald,yvirvánir,yvirveldi,yvirvøld(leiðsla)aðalstavur,aðalstjórn,alting,altjóðadómstólur,altjóðarættur,arbeiðsnevnd,arvarættur,avgerðarrættur,blaðstjórn,blaðstýri,búnaðarnevnd,búnaðarráð,búskaparráð,bygdaráð,bygdarráð,bygginevnd,býráð,býrættur,danastjórn,dómsnevnd,dómstólur,dómur,embætisverk,eykatingseta,ferðslumálaráð,fiskivinnunevnd,fíggjarmálaráð,fíggjarnevnd,flotamálaráð,fólkating,fólkavalt ting,friðingarnevnd,gerðarnevnd,gerðarrættur,góðsstjórn,Gulating,hagastýri,harradagur,heilsunevnd,herflotastjórn,hermannadómstólur,hermannastjórn,heystting,hægstirættur,høvuðsting,jarðarráð,javnaðarstjórn,kantórkrakkastýri,kassanevnd,kirkjumálaráð,kirkjuráð,kirkjurættur,kirkjustjórn,kommunustýri,landsfyrisiting,landsnevnd,landsrættur,landsskúlafyrisiting,landsskúlaráð,landsstjórn,landsstýri,landsting,leigunevnd,lóggávuting,lærararáð,læruráð,løgregla,løgting,løgtingsnevnd,málnevnd,meginting,miðnevnd,millumtinganevnd,minnilutastjórn,nevnd,nevningating,næmingaráð,oljufyrisiting,orkuráð,óðalsting,prísráð,ríkisráð,ríkisrættur,ríkisstjórn,ríkisstýri,rættur,samgongustjórn,samstjórn,senat,sjórættur,sjálvstýrislandsstýri,skattanevnd,skiftirættur,skúlanevnd,skúlastjórn,sóknarstýri,starvsnevnd,stjórn,stjórnardeild,stjórnarráð,stýri,stýrilsi,stýring,stýrisdeild,sýsluting,ting,tingnevnd,tjóðarting,tjóðting,umsiting,undirnevnd,undirrættur,uttanríkismálaráð,uttanríkisráð,úrvalsnevnd,útlegdarstjórn,útskiftingarnevnd,valnevnd,várting,verjumálaráð,vinnunevnd(einaræði)einavald,einaveldi,einræði,einveldi(hermegi)heralv,hervald,herveldi,vápnamegimundugleikarnir t.e. teir ráðandi t.e. øvrigheit(in);mekt og mæti↔lóg,mikilleiki,oddamaður,óvinniligur,sigra,stjórna
valda	síelva,stjórna
valdfúsur	síófúsur
valdfýsni	símaktgirnd
valdgirnd	símaktgirnd
valdharri	síaðalsfólk
valdkærur	síófúsur
valdmikil	síhábærsligur
valdræningi	síóflýggjakroppur
valdsgerð	síbrotsverk,hóttan
valdsharri	síaðalsfólk,óflýggjakroppur
valdsmaður	síaðalsfólk
valdur	sífrálíkurSamheiti:afturvaldur,eykavaldur,fólkavaldur,innsettur,innvaldur,kongsvaldur,kosin,løgtingsvaldur,nývaldur,sjálvvaldur,umdømisvaldur,úrvaldur,úttikin,útvaldurdemokratiskt valdur;komin inn;settur av e-m;settur í embæti, starv;tikin framum;tikin í eið;valdur inn;valdur við vanligum meiriluta↔tilnevning,úrval,útnevna,val,valmøguleiki,velja,ymiskt
valdømi	sístað
valevnalisti	síyvirlit
valevni	síúrval
valfelag	sífelag
valfrælsi	sífrídómur
valfundur	sífundur
valførur	sítilkomin
valg	síval
Valhøll	síævintýrhugtak
valin	sífrálíkur,tvítulingur
valkostur	síúrval,valmøguleiki
valkyrja	síævintýrhugtak
valla	síferðast,grógva,næstan,síggjast
vallaður	síloðin
vallalendi	sígrasvaksin blettur
vallaraferð	sítúrur
vallaragongd	sítúrur
vallaraheim	síbygningur
vallari	síferðafólk
vallarland	sígrasvaksin blettur
vallbakki	sígrasvaksin blettur
vallberg	sígrasvaksin blettur
vallbøkkur	sígrasvaksin blettur
vallfløta	sígrasvaksin blettur
vallgarður	sígarður
vallgil	sídalur,grasvaksin blettur
vallgrógvin	síloðin
valling	sígrasvaksin blettur
vallingur	sígrasvaksin blettur
vallisti	síyvirlit
vallklingra	sígrasvaksin blettur
vallland	sígrasvaksin blettur
vallnám	síútlinja
valloyri	síáarmunni
vallóg	sílóg
vallpetti	sígrasvaksin blettur
vallplinkur	sígrasvaksin blettur
vallrók	sígrasvaksin blettur
vallryggur	sígrasvaksin blettur
vallstykki	sígrasvaksin blettur
vallur	sígrasvaksin blettur
vallyfti	sílokkuboppa
valmannadrykkur	síeitur,ævintýrhugtak
valmásaskuri	sífuglur
valmási	sífuglur
valmynd	síyvirlit
valmøguleikar	síúrval
valmøguleiki	Samheiti:kor,kostur,val,valkosturmøguleiki at velja;□tú fært, skalt fáa kostir í at velja↔úrval,val,valdur,velja,ymiskt
valnevnd	sívald
valnøt	síviður
valnøtatræ	síviður
valorð	síslagorð
valríki	sístatur
valrættaraldur	síbarnaár
valrættur	sírættindi
valsa	sídansa
valsigur	sísigur
valskúli	sískúli
valstríð	síósemja
valstýri	sívald
valsur	sídansur,tónalag
valtra	síferðast
valtran	sígonga
valtrandi	síheimleysur
valtrari	síferðafólk,rekavætti
valur	síkræsin
valuti	sípeningur
valúrslit	síendaúrslit
vambarfylla	síífylla,matur
vambarkast	sífall
vambarkelkur	sífitibjølgur
vambarsekkur	sílikam
vambarsíður	síhovin
vaml	símótviljiSamheiti:grindavaml,hemingur,hjartailska,klígging,kválm,kválmi,matstikni,spýggjuvaml,uppstig,uppstígingar,væmingilt fyri hjarta(num);spýggjandi, standandi vaml;vantandi matarlystur(spýgging)spýggja,spýggjuilska,spýggjuverkir,tvøstspýggja(sjóverkur)væming↔spýggja,spýggjugrísur,vamlast
vamla	símeina
vamlast	Samheiti:vontrastfáa, hava ilt fyri hjarta, vaml;hava ilt fyri hjartanum;hava lítlan, ongan, ringan matarlyst, mathug;hava spýggjandi, standandi vaml;ikki fáa bitan niður;ikki troysta sær at eta, mat, nakað;missa matarlystin, matarlystina;vamlast, vontrast við e-t;taka á at, vera um at, vilja klíggja, spýggja;□bitin veksur í munninum;e-m stendst við;maturin fellur ikki væl;tað fer (niður) millum meg og klæðini, millum skins og hold(hava sjóverk)vera ringur av sjóverki;vera sjóveikur(mettast)tepsast,tevsastbyrja, fara at mettast;gerast mettur;gerast seinátin;□tað fjarar ikki av hjá honum (t.e.) hann er seinátin↔spýggja,spýggjugrísur,vaml
vamlisligur	símisháttur,óetandi
vamlutur	síóetandi
vamm	síbrek
vammaður	síbrekaður,svakur
vammagripur	sípinkulingur
vammaleysur	sígóðsintur
vanabundin	Samheiti:hevdbundin,siðbundin,siðfastur,vanabúgvin,vanafastur,vanafullur↔medferð,plaga,turvelvandi,uppaling,vani
vanabúgvin	sívanabundin
vanaelvandi	síturvelvandi
vanafastur	sívanabundin
vanafesta	sívani
vanafesti	sívani
vanafullur	sívanabundin
vanahugsan	síhugsan,vani
vanaíbirtandi	síturvelvandi
vanalív	sígerandislív,vani
vanalyndi	sívani
vanaskapandi	síturvelvandi
vanbrúk	síórøkiskapur
vanburður	síkryplingur
vanbýta	síbýta,svika
vanbýti	síbýti
vanbýttur	sísvika
