ydda	síspíska
yvirlit	síklókskapurSamheiti:altjóðaskráseting,álmanakki,álmunakki,bíðilisti,bókalisti,bókaskrá,dagatal,dráttarlisti,evnisyvirlit,ferðafólkatal,grindalisti,haldaratal,húsatal,hvítbók,innihaldsyvirlit,jarðarbók,jarðbók,jólakalendari,kalendari,kalsbók,kongsbók,kortaskrá,kútal,kvøðulisti,landsbók,listi,lógasavn,lógbók,løgbók,manningarlisti,manntalslisti,markabræv,matarskrá,matkort,matrikul,matseðil,matskrá,minnisblað,minnisbók,minnislepi,príslisti,roknitalva,seðlasavn,seðlaskrá,skattalisti,skinnatal,skipan,skipaskrá,skipaskráseting,skrá,skráseting,stigatal,stigatalva,streymtalva,stykkjatal,svarlisti,sølulisti,tabell,tal,talva,telefonbók,tilfarslisti,tingbók,tímaseðil,tímatal,tímatalva,tímaætlan,tollskrá,uppritsbók,uppskriftabók,uppskriving,úthendi,vínkort,vørulisti,vøruskrá,yvirskoðan(roknskaparbók)bankabók,handilsbók,kassabók,kontrabók,sjúkrakassabók,sparikassabók(dagbók)árbók,ársbók,ársrit,fundarbók,gerðabók,loggbók,rættarbók,siglingarbók,sjúkradagbók,skipsbók,skipsdagbók,vártingsbók,ynskisseðil(fólkayvirlit)adressubók,barnatal,burðatal,fólkatal,gestabók,kirkjubók,limalisti,limatal,listi,manntal,navnalisti,navnaskrá,næmingatal,svartilisti,telefonbók,valevnalisti,vallisti(hagtal)atkvøðutal,deyðatal,farmynd,farstrika,lambatal,mannadeyði,stabbamynd,stigatalva,strikumynd,valmynd(orðaskrá)bakleiðisorðabók,einmálsorðabók,móðurmálsorðabók,orðabók,orðalisti,orðasavn,rættskrivingarorðabók,samheitabók,samheitaorðabók,samtalsbók,skyldorðabókgulu síðurnar;hagfrøðilig tøl;hagtøl;tøl á, yvir...↔nummar,skráseta,skriv
yvirlitsgóður	sígreiður
yvirlitslestur	síbókalestur
yvirlitur	sílittóni
yvirlíki	sívinnari
yvirluti	sívald
yvirlýsa	síljósglæma
yvirlýsing	síboðan,játtan,skrá,ummæli
yvirlærari	sílærarafólk
yvirlæti	sískálkaskjól
yvirmaður	síoddamaður,vinnari
yvirmaki	sívinnari
yvirmakt	sívald
yvirmáttugur	sísterkur
yvirmenni	síavtakafólk,kraftamaður
yvirmenska	símegi
yvirmenskur	sísterkur
yvirment	símegi
yvirmentur	sísterkur
yvirmeta	sítilbiðja
yvirmeting	símeting
yvirmógvur	símógvur
yvirmuður	símunnur
yvirmunnur	símunnur,tonn
yvirnatúrligur	síóveruligur
yvirnøgd	sínøgd
yvirplagg	síklæði(r)
yvirprenta	síprenta
yvirprenting	síárit
yvirráð	sívald
yvirrið	sívinglan
yvirræði	sívald
yvirsinni	sívreiði
yvirsintur	sívreiður
yvirsjón	síveruleikaflótti
yvirsjónd	síyvirflati
yvirskegg	sískegg
yvirskipaður	sínøra
yvirskipan	sískipan
yvirskoðan	síklókskapur,samandráttur,yvirlit
