r	síjavnstrokin
rapa	síóhvassurSamheiti:detta,flakna,rapla,skalvadetta, falla, skrambla niður, saman, sundur;detta, fara um koll;fara í toftina;flakna niður;hótta við at, standa at detta, fara, leypa, rapa;leypa burtur;rapa sum eitt korthús;síga, smokka, søkka saman;leypa, rigna, ryðja, rulla, skríða, skryðja burtur, niður, oman(standa á lopi)standa og riða (á);vera leyst;vera um at leypa↔avtofta,avtoftaður,avtoftast,falla,niðurdottin,niðurríving,niðurtraðkaður,omanlop,ríva,toft
rapaður	síniðurdottin
rapl	sígrót
rapla	sírapa
raplaður	síniðurdottin
rapp	sísynging
rappa	sísyngja
rappír	sístavur
rapul	sífall,grót,ljóð
rasa	síbeistast,snáva,storma
rasisma	síheimføðisskapur
raskleiki	sídirvi,dugnaskapur
raskur	síarbeiðsførur,djarvur,frálíkurSamheiti:andvirkin,arbeiðshugaður,arbeiðssamur,ágrýtin,áhaldandi,áhaldin,áhildin,áræsin,dáðríkur,drívandi,dríviligur,dugandi,dugnagóður,dugnaligur,dugnamikil,duguligur,dúgligur,eftirleggin,fiskigrammur,framtøkur,fúsur,førur,ginsamur,gintur,gívin,gívurligur,gjøðin,gjørligur,harður,hugaður,hugagóður,hugligur,ivrigur,íðin,knaskin,knáligur,knáur,knávin,knávur,knoskin,knóligur,koyrandi,lítargóður,margkreftigur,málsøkin,menskur,nýtur,nærsøkin,ovurraskur,ólívin,ólúgvandi,ólúgvin,ómøðiligur,ótroyttiligur,ramur,reystur,rívandi,rokkendur,rokmikil,rokutur,seigur,skrappur,starvsamur,stákingarsom,stinnur,stórvirkin,søkin,tiltoyggin,tolgóður,toyggin,toytin,tógvin,tóvin,trágongdur,tráligur,trárendur,tráur,treiskur,treystligur,treystur,trinnur,tróttugur,umripiligur,umripingarsamur,vaskur,vásharður,verkfúsur,virkin,virkingarmikil,virkisfúsurágrýtin sum lírahundur;ein harður hálsur, ein sovorðin rívandi ond;sum knívur á hørðum horni;til dystin fús;□hann eirir, lívir sær ikki, eirir, sparir seg ikki, unnar sær ikki hvíld;hann er eingin, ikki nøkur bloyta, bløka, hosa, løra, sløkja, undirløga;hann er fúsur til verka;hann er ikki buktarotin, ikki roykrotin, ikki skolaður út av látri;hann er ikki eingin maður, ikki fyri ongum;hann er ímóti tveimum, fimm, sjey, tíggju, øllum hinum;hann er væl at sær komin, heldur væl á, leggur nógv at sær;hann hevur bein í hendi;hann leggur ikki lunnar undir seg, letur ikki mjøðin dovna;hann svevur ikki á sporinum;hann ætlar ikki einki, ætlar ikki inni at liggja;hansara partur liggur ikki eftir;hasin kann gera lít;hatta er annar maðurin;spegla tær í↔arbeiðsførur,avtakafólk,áhugaður,árrisin,djarvur,framfúsur,fullkønur,harðbalin,innløgumaður,kraftamaður,lærdur,megi,nærlagdur,slitmaður,sterkur,tolin,villigur,vælvirkinAndheiti:latur
raspa	Samheiti:ríva(fíla)svarva↔brýna
rass	sírørsla
rassa	sídreiva
rassast	síbúgva út,førka,vakna
rassull	síull
rassur	síafturpartur
ravgulur	sílitaður
ravmagnaður	síatdráttarmegi
ravmagnsljós	síljósglæma
ravmagnspera	sílampa
ravmagnsskøta	sífiskur
ravmagnsstik	sírimaverk
ravmagnstól	síamboð
ravnabøli	síbygningur,óruddiligt høli,reiður
ravnagorr	sískríggj
ravnakavi	síkavi
ravnalína	síband
ravnalæti	sískríggj
ravnamatur	sígálgamatur,matur
ravnaminni	síminnast,minning
ravnariv	sísár,skaði
ravnatollur	síavgjald
ravnatugga	síbeinaræ
ravnslína	síband
ravnsreiður	síóruddiligt høli,reiður
ravnsungi	sífuglur
ravnsvartur	sílitaður
ravnur	sífuglur
ravsigul	síatdráttarmegi
ravsigulmagn	síatdráttarmegi
ráarknútur	síknútur
rábakaður	síleikmaður,lærdur
rábeittur	síóhvassur
rábítur	síátari
rábleytur	sílinur
ráborð	síviður
ráð	síleiðbeining,líkindi(r),skrá,snildarbragd,tinging,vald
ráða	síelva,stjórna
ráðabót	síafturbøting
ráðafastur	sívissur
ráða frá	síforbjóða
ráðagera	sísiga
ráðagerð	sískálkagerð,skrá,tinging
ráðagóður	síklókur
ráðaklókur	síklókur
ráðaleggja	sísiga
ráðaleysur	síivasamur,mótfallin
ráðaloysi	símótloysi
ráðamaður	síleiðbeinari,vísmaður
ráðamikil	síhábærsligur
ráðaríki	símaktgirnd
ráðaríkur	síklókur,ófúsur
ráðasjúkur	síófúsur
ráðasnild	síklókskapur
ráðasnildur	síklókur
ráðast	sísiga
ráðatøkin	síklókur
ráðavándur	símannvándur
ráðavillur	símótfallin
ráðfastur	sívissur
ráðgerð	sískrá,tinging
ráðgevari	síleiðbeinari
ráðgevi	síleiðbeinari
ráðgeving	síleiðbeining
ráðhús	síbygningur
ráðiliga	síróliga,tryggliga,vandaliga
ráðiligur	síhóskiligur,klókur,tryggur
ráðin	síklókur
ráðisliga	sískynsamliga
ráðisligur	síklókur
ráðismaður	síoddamaður
ráðklókur	síklókur
ráðlegging	sítinging
ráðleggja	síelva,siga
ráðleysur	síivasamur,mótfallin
ráðloysi	símótloysi
ráðsnarur	síklókur
ráðsnildur	síklókur
ráðstevna	sífundur
ráðtøkin	síklókur
ráðuliga	síróliga,tryggliga,vandaliga
ráðuligur	síklókur,tryggur
ráðusliga	sískynsamliga
ráðusligur	síklókur
ráðvillur	síivasamur,mótfallin
ráðvísur	síklókur
ráevni	sítilfar
ráfiskur	sífiskur
ráflustur	síkoyra uttanav
ráfræ	sífræ
ráhallur	síavlagaður,hallur
ráhvítur	sílitaður
rái	sívatn
rák	sístreymur,tíðarrákSamheiti:dráttur,drift,driv,ferð,gongd,inndráttur,innfylling,innsúgur,rek,rend,renningur,rennisjógvur,rennisúg,rennisúgur,rennisúgvur,rensl,røring,røringur,rørsla,súg,súgur,súgv,súgvur,tvørbering,tvørsúgur,útdráttur,útrun,útsúgurfløktur dráttur(skýrák)dráttrarluft,skýdráttur,skýferð↔reka,reka av leið,streymur,vindur
rákafiskur	sífiskur
rákaldur	síkaldur,vátur
rákaleið	sífiskileið
rákaleyst	sístreymur
rákamikil	sísevjumikil,smakkgóður,vátur
rákamót	sírók
rákarendi	sírók
rákarhald	sífiskileið
rákarlag	sírók
rákarskapilsi	sírók
rákavandin	síkræsin
rákfríur	sígóðviðrað
rákgongd	sítíðarrák
ráki	sídrekkivatn,rúsdrekka,smakkur,vatn
rákísur	síkavi
ráknútur	síknútur
ráksnúgvin	sístøðuveikur
ráksnúni	sísvik
ráksnúningur	sívingliskøltur
ráleiki	sívatn,vreiði
ráligur	sítokutur,vátur
rálýsi	sílýsi
rám	síglopp
ráma	síraka
rámaður	sígróðrarbúgvin
rámátin	símatfegin
rámeti	símatur
rámi	síluktur
rámjólk	símjólk
rámur	símannvándur,óskapiligur
rán	sístuldur,tjóvagóðs
rána	sístjala,vatnast
ránakendur	síkraddutur,tjóvskur,øvundsjúkur
ránasteingil	sílás
rándjór	sídjór
rándýr	sídjór
ránfuglur	sífuglur
ránfúsur	síkraddutur,tjóvskur,øvundsjúkur
ránir	sílíkindi(r)
ránnýtsla	sínýtsla,oyðslusemi
ránroyna	sísøra
ránsdjór	sídjór
ránsdýr	sídjór
ránsferð	sítúrur
ránsfongur	sítjóvagóðs
ránsfuglur	sífuglur
ránsfæ	sítjóvagóðs
ránskroppur	sítjóvur
ránskur	síkraddutur,tjóvskur,øvundsjúkur
ránsmaður	sítjóvur
ránsmannabøli	síóruddiligt høli,tjóvur
ránstonn	sítonn
ránsveiða	sífiskiskapur,oyðslusemi
ránveiða	sífiskiskapur,oyðslusemi
ráolja	síbrenni
rárigur	sísjáldsamur
rárur	sísjáldsamur
rás	síferðaleið,gonga,koyrivegur,spor,stevnuleið
rása	síreka seyðSamheiti:ganga í gásagongd,træðaganga á rað, í røð;ganga á træðri;ganga hvør eftir annan(rásandi)ein og ein,hvør fyri seg,hvør sær,maður undan manni,mann á manni,træðandiá rað, í bíðirað, bíðirøð, røð;á træðri;bara ein í senn;bara ein um... (dagin, tíman o.fl.);ein fyri og annar eftir;ein hvørja ferð;hvør aftan á, eftir annan;hvør einsæri, einsæris;hvør í hølunum á øðrum;hvør í sínum lagi;hvør undan øðrum;hvør øðrum á baki;hvør øðrum næstur;høvd í høvd;ikki fleiri í senn;í gásagongd;kropp á kropp;maður aftan á, eftir mann;maður á mann;mann undan manni;ættarlið eftir ættarlið;ætt eftir ætt;□har fór ein riðil, røð, eitt rað av...↔einsamallur,samanhangandi
rásan	sískjótleiki
rásandi	sírása
rásarfuglur	sífuglur
rásarlið	síinngongd
rásarlundi	sífuglur
rásarúm	sípláss
rásegl	sísegl
ráskapur	sívreiði
rásmakkur	sísmakkur
rásmør	sífitievni
ráterri	síregn,terri
rátýða	síumseta
ráur	símannvándur,ókókaður,ósømiligur,vátur
ráviður	síviður
rávøra	sítilfar
realisma	sísannindi
realskúli	sískúli
red	sífjørður
redda	síbjarga
redningur	síbjarging
reðr	síkallskøp
reðra	símakast
reður	síkallskøp
reðurfall	sígraður
reðurstøða	sígraður
refsast	sílekjast
regera	síbeistast
regerilsi	sílevind
regla	sífelag,ganga,lóg,strika
reglubeinur	síbeinur
reglubrot	síbrotsverk
reglubróðir	sífelagslimur
