r	síjavnstrokin
ríkiliga	Samheiti:dekan og,fittliga,gott,heldur,hópin,ivaleysa,í so,nakað,nóg,ov,óspart,reiðiliga,reiðuliga,ríkliga,rívan,ríviliga,rívliga,ruddiliga,rúmliga,rúmt,rættiliga,rættuliga,stívliga,yvirein (góðan) mun...;enn, uppaftur betur, meira;gott og væl;ikki hissini, smátøkið, smávegis;í hvussu so er;í ljósara, myrkara, meira, minna lagi;í øllum góðum;jú so;meira enn nokk;munin (frægari, verri);nakrir og...;nokk so;nóg so;□hetta er ikki heklað til;nú er nakað nógv avgjørt;tá er átikið;tað er ikki eiti, trot av, á;tað er ikki trot uppá↔ógvuliga,ríkiligur
ríkiligur	Samheiti:drúgvur,fullur,góður,ivaleysur,óspardur,ríkligur,ríviligur,rívligur,rúmligur,rúmur,stívligur,stívurbetri, størri enn...;eitt petti, sindur, sløð, vet meira, størri;ivaleysa nógvur;meira enn nokk;heldur enn ikki, í so, í stóran mun, mest sum ov, nokk so;heldur, ivaleysa, nóg, ov góður, mikil, stórur o.fl.;□hetta er ikki hissini, smátøkið, smávegis;tað er ikki eiti, trot av, á;tað er ikki trot uppá;tá er átikið;tá er ikki ov nógv avgjørt↔munadyggur,ríkiligaAndheiti:slakur
ríkisarvingi	síarvingiSamheiti:prinsessa,prinsur
ríkisákæri	síákæri
ríkisborgararættur	sírættindi
ríkisborgaraskapur	sírættindi
ríkisborgari	sííbúgvi
ríkisfelagsskapur	sífelagsskapur
ríkisgóðkendur	sígaldandi
ríkiskassi	sípeningur
ríkiskirkja	síkirkja
ríkiskona	síríkmaður
ríkiskroppur	síríkmaður
ríkislóg	sílóg
ríkisløggildur	sígaldandi
ríkismaður	síríkmaður
ríkismál	sífelagsmál,tungumál
ríkisogn	síogn
ríkispartur	sístatur
ríkisráð	sífundur,vald
ríkisrættur	sívald
ríkissamband	sífelag,samband
ríkissjúkrahús	síbygningur
ríkisskattur	síavgjald
ríkisskjalasavn	sígoymsla
ríkisskjalavørður	sívaktari
ríkisskuld	sískuld
ríkissóknari	síákæri
ríkisstjórn	sívald
ríkisstudningur	síhjálp
ríkisstyrkur	síhjálp
ríkisstýri	sívald
ríkisumboð	sívaramaður
ríkisumboðsmaður	sívaramaður
ríkisvald	sívald
ríkj	síljóð
ríkja	síljóða,skríggja,stjórna
ríkjan	síljóð
ríkjasamband	sístatur
ríkliga	síríkiliga
ríkligur	síríkiligur
ríkmaður	Samheiti:burgoysi,fíggjarmaður,margmillióningur,milliardingur,millióningur,pengamaður,rentumaður,ríkiskona,ríkiskroppur,ríkismaður,ríkmanssonur,ríkmenni,spælidrongurikki (nakar) molamaður;múgvandi maður↔eiga,eigari,ogn,peningur,ríkurAndheiti:fátækafólk
ríkmansligur	síhábærsligur
ríkmanssonur	síríkmaður
ríkmenni	síríkmaður
ríkur	sídýrur,hábærsligurSamheiti:alríkur,bótarførur,búførur,evnagóður,findarríkur,fíggjaður,fullríkur,gjaldførur,hovríkur,lánførur,múgvaður,múgvandi,múgvin,niðurfyrikomin,ovurríkur,rúmur,steinríkur,uppríkaður,veitingarførurførur fyri at gjalda;í góðum korum;við góðum ráðum;væl áborin við e-t, væl innanveggja við e-m;væl byrgdur, staddur, stillaður við...;væl fíggjaður, fjaðraður;væl fyri;○sum eigur inni, hevur ivaleyst av øllum, hevur (góð) ráð;sum eigur (í) yvirflóð av e-m, er væl niðurfyri við e-m;□hann er ikki nakar molamaður, smámaður;hann er komin til veldir, er væl fyri fíggjarliga, situr í góðum veldum;hann hevur nóg mikið av øllum, honum vantar einki;hann hevur nógv á landinum, nógv at rumma við, nógv til matna(r);tað bítur innangarðs hjá honum;undir kúnna eigur hann↔eiga,eigari,ogn,peningur,ríkmaðurAndheiti:fátækur
ríligur	sídygdarleysur,vreiður
rím	síkavi,sangur
ríma	síhóska væl,sangur,yrkja
rímari	sískald
rímbræv	sísangur
rímfrost	síkavi,kuldi
rímhvítur	sílitaður
rímiliga	sípassaliga
rímiligur	síhóskiligur,sannur
rímneyð	sítørvur
rímorð	síorð
rímtussi	síævintýrhugtak
rína	sígráta,gremja seg,skríggja
rína við	Samheiti:fata,nemafata við;hanga við (um lærdóm);merkja, royva á;rína á, við e-m, e-n;vera áríniligur (t.e.) vera løskin(ávirka)muna,virkafølast, kennast, merkjast o.fl.;gera eitt hugnám;gera mun;gera um seg;hava árin, ávirkan á;leggja (sín) dám á;nema við (kensluliga);verða potað inn í (heilan), niður í (børn);□tað sæst dagamunur, munur á↔árin,ávirkast,broyta,munadyggur,munur
rípa	sígera striku,strika
rípusalt	síhinna
ríputur	sírukkutur,stríputur
rísa	sígera aldu,reisa
rísakur	síjarðarstykki
rísandi	sívaksandi
rísin	síaldutur,frísutur,ójavnur,vreiður
rísinskinn	síhúð
rísla	sískriva
ríslutur	síójavnur
rísna	sígera aldu,ilskast,ývna
rísullaður	síullaður
rísutur	sífrísutur
rísvelta	síjarðarstykki
ríva	síavtofta,fúka,klóra,raspa,skræða,toga,tøtaSamheiti:farafara av grund(ini);fara av vindi;fáa flagið rivið av;flætta av sær;fúka um, um koll;losna og fúka omanav;skrædna (oman)av;verða avflett;verða fyri ríving;verða tikin av grund(ini);□húsini fóru av vindi, tey rivu;takið fór av vindi, tað reiv↔fúka,rapa,rokilsi
ríva leyst	sístorma
rívan	síríkiliga
rívandi	síraskur
ríviliga	síríkiliga
ríviligur	síríkiligur
rívin	símatfegin
ríving	síniðurríving
rívliga	síríkiliga
rívligur	síríkiligur
rívubarn	síhoyggj
rívuklúkur	síhoyggj
rívuskaft	sískefti
rívutindur	síoddur
rjóða	síblóðga,lita
rjóta	sísnorka
rjúva	síavtofta
roddi	sífiskur,kallskøp,seyður
roddur	síseyður
rodna	síavlitkast
roð	síhúð
roða	sílita,smyrja
roðast	síbeistast
roðál	síslintra
roðbjóri	sílepi
roðbjølgur	síumvav
roðbuksuband	síband,miðjuband
roðbuksuseymur	sístingur
roðbuksuskarvur	sífuglur
roðhít	síumvav
roði	Samheiti:kinnaroði,kinnroði,korkaroði,kvøldroði,morgunroði,rómi,rósudæmi,skammarroði,skammroði,sólarroði,vesturroði↔avlitkast,dæmdur,lita,litaður,litevni
roðkloddi	sílepi
roðklæddur	síílatin
roðklæða	síklæða
roðklæði(r)	síklæði(r)
roðlepi	síhúð,lepi
roðsáld	sískiljari
roðsla	Samheiti:reistla,rostla,seiðaskrubb,sildaskrubb,skrubb
roðsluroykur	síluktur
roðslutur	sískitin
roðstúkufólk	sífátækafólk
roff	sífongur
rogn	síegg
rognaboppa	síegg
rognabrók	síegg,pinkulingur
rognabuppa	síegg
rognabyggkorn	síegg
rognafiskur	sífiskur,kvennvera
rognakalvi	sífiskur
rognaknívur	síknívur
rognakorn	síegg
rognfiskur	sífiskur,kvennvera
rognkalvi	sífiskur
rognkelsi	sífiskur
rognkilsi	sífiskur
rognkorn	síegg
rok	síbaksan,fyrireiking,kavi,levind,ósemja,rokilsi,toka,vavstur,ørskapur
roka	sífylla,vindur
rokaband	síband
rokaður	síjavnstrokin
rokafullur	síjavnstrokin
rokaleypur	síkassi
rokaleysur	síjavnstrokin
rokaligur	síófriðarligur
rokamál	síkassi
rokan	síbaksan,fyrireiking,levind,reyp
rokari	síavtakafólk
rokasettur	síjavnstrokin
rokasligur	síófriðarligur
rokast	síarbeiða,beistast
rokatorv	síbrenni
rokatorva	síbrenni
rokár	síinnløgutíð
rokbátur	sísjófar
rokdagur	síinnløgutíð
rokfiskiskapur	sífiskiskapur,fongur
rokfundur	sífundur
rokilsi	sílevindSamheiti:brimrok,dumba,dumbubos,dumburok,dungafall,dungarok,dymbi,dymb,eyrrok,fám,fjaðrarok,fjallrok,fok,glaða,glaðurok,glaðustrok,gos,gusan,guva,guvurok,himmalrok,jarðkavaguv,jarðkavi,jarðrok,kavafok,kavaguva,kavarok,meldur,moldrok,moldrokilsi,niðanfok,omanrok,rok,rokkavi,rustrok,sandrok,sjórok,snjófok,snjórok,vatnglaða,vatnrok,øskurokupphald, upphav, uppstøða á fjøllu(nu)m↔fúka,ríva
rokin	síglataður
rokka	sídansa
rokkaduni	síljóð
rokkafelli	síhaldari
rokkafingur	sífingur
rokkagjørð	síringur
rokkahjól	síringur
rokkanagli	sínagli
rokkaslá	síhaldari
rokkasnúður	sísnúður
rokkastrongur	síband
rokkavi	síkavi,rokilsi
rokkbólkur	sísangari
rokkendur	síófriðarligur,raskur
rokkhald	síhaldari
rokkorkestur	síorkestur
rokktónleikur	sítónalag
rokkur	sídansur,skegg,tónalag,ull
rokmaður	síeydnismaður
rokmikil	síófriðarligur,raskur
rokna	símeina,ramsa uppSamheiti:býta,deila,falda,fleirfalda,framrokna,framskriva,margfaldadraga frá;falda við...;falda, økja... ferðir;leggja afturat;leggja saman;rokna frá;rokna í høvdinum;rokna, telja saman;rokna út;tvífalda, trífalda, ferfalda, fjórfalda, fimmfalda o.fl.↔útrokning
roknaður	sívirðismettur
roknibók	sískriv
roknihefti	sískriv
roknikønur	síklókur
roknilærari	sílærarafólk
roknimeistari	sívísmaður
rokning	síkrav,roknskapur,útrokning
rokningarháttur	síarbeiðslag
roknitalva	síyvirlit
roknitími	sískúlagongd
roknivilla	sískeivleiki
roknskaparbók	síyvirlit
roknskaparframløga	síroknskapur
roknskaparfrágreiðing	síroknskapur
roknskaparførsla	síbókhald,roknskapur
roknskapargrannskoðari	sívaktari
roknskaparhald	síroknskapur
roknskaparhall	síhall
roknskaparmaður	sívaktari
roknskapur	Samheiti:ársroknskapur,rakstrarroknskapur,rokning(roknskaparførsla)roknskaparhald(roknskaparframløga)roknskaparfrágreiðing(konto)bankakonto,girokonto,konta,lønarkonto,rokning↔avrokning,bókhald
rokódn	sívindur
roks	síbaksan,fyrireiking,møsn,møsnari
roksa	síendurtaka,letast,møsna,putla
roksandur	sígrót
roksast	síletast,putla
rokskip	sísjófar
rokskipari	síeydnismaður
roksl	sífyrireiking
rokstormur	sívindur
roksutur	símøsnutur,seinpjakutur
roktíð	sítrokan
roktjúkn	síkavi
roktúrur	sífiskiskapur,fongur
rokutur	síófriðarligur,raskur
rokveður	sívindur
rokveiða	sífiskiskapur,fongur
rokvika	síinnløgutíð
rolla	síramsa upp,skriv,uppreksan
romantikk	síveruleikaflótti
romantikkur	síveruleikaflótti
rommfløska	sífløska
rond	sístrika,útlinja,vernd
rondutur	síójavnur,stríputur
rong	sísessur
rongutoft	sísessur
ront	símøsn
ronta	símøsna,syngja
rontra	símøsna
rop	síanding,ljóð
ropa	síbeistast,hosta
roppa	síátari,eta
roppur	síband
ross	síklumpurSamheiti:arbeiðshestur,arbeiðsross,asnafoli,asnaross,asni,avdeyðaross,ásin,bítaraross,blindifoli,brótarahestur,brótaraross,brótari,brúksross,burðarross,drápsross,esil,ferðingarhestur,fjórtoymi,flókafyl,foli,fyl,fyljaryssa,gampur,gangarahestur,gangari,garðagangari,garðbrótari,garðgangari,garðross,graðhestur,greðingur,hersi,hestamua,hestfyl,hestur,heystfoli,hoygarðshestur,kloddafyl,klyvjaross,krubbufressa,mer,merross,molari,múldjór,múlesil,plógross,plógryssa,rakross,reiðingarross,reiðrarhestur,reiðrhestur,ríðingarhestur,ríðingarross,rennari,rossaflokkur,rossafloti,rossamua,rossaskipan,rossaslag,ryssa,ryssufyl,røktingarhestur,saðildýr,síðfoli,síðfolingur,sleipiross,slitross,snolla,soppa,stóð,tonglaross,torvross,toymi,trítoymi,tvítoymi,tøðryssa,tøkuhestur,ungfoli,unghestur,ungross,útmælingshestur,villross,ørs,øsna,øsnufoli
rossabarn	sívaktari
rossabásur	síseyðarætt
rossabit	síkroyst,tak
rossadrongur	sívaktari
rossafaks	síull
rossafjós	síbygningur
rossaflokkur	síross
rossafloti	síross
rossafrælsi	sífrælsi
rossagryvja	síkoyrivegur
rossagrøv	síkoyrivegur
rossagøta	síkoyrivegur
rossahald	sídjórahald
rossahandil	síhandilsskapur
rossahoyggj	síhoyggj
rossahógvur	sífótur,negl
rossahúð	síhúð
rossahús	síbygningur
rossahøvd	síhøvur
rossajøkil	síjarðarstykki
rossakreftir	símegi
rossalið	síinngongd
rossaligur	síbusutur
rossalív	síólagna
rossalortur	sílortur
rossamakrelur	sífiskur
rossamergur	sífitievni
rossamua	síross
rossapantur	sílortur
rossarak	sísoltinskapur
rossaræ	síbeinaræ
rossaskipan	síross,skipan
rossaskittur	sílortur
rossaskrelja	síræðumynd
rossaslag	síross
rossaslóð	síspor
rossaspor	síspor
rossatár	sídropi,hykl
rossatógv	síull
rossatraðk	síspor
rossatrøð	síjarðarstykki
rossatøð	sílortur
rossavað	síbrúgv
rossleypur	síkassi
rossmaður	síævintýrhugtak
rostla	síroðsla
rot	síregn,snorkSamheiti:brukning,esjan,neyðrot,orr,rakrot,rota,rotinskapur,slokkarot,slokkrot,spilla,spilling,tannrot(eplaspilla)svartaspilla(hoyfúgvi)fúgvi(forska)geit,geituviður,vatnrotfúgvið, fúnað stykki;vatndruknaður viður↔blámuskotin,rotin,rotna,turka
rota	síregn,rot,rotna,sláa gras
rotabukka	sísjófar
rotaglotti	síljósglæma
rotagron	sísjeysovari
rotfríur	sífeskur
rotgluggi	síljósglæma
rotin	Samheiti:bleytræstur,bruknaður,fúgvin,hálvrotin,karfúgvin,karrotin,kasaður,kasúldur,kavfúgvandi rotin,kavrotin,kássaður,luftnaður,mernaður,moltin,morkin,moyrnaður,moyrur,mørnaður,pilkandi rotin,rotnaður,rótrotin,ræstnaður,ræsttornaður,ræstur,skarpræstur,spikførur,spiltur,stadnaður,svímaður,upphongdur,úldur,úldnaður,úlmaður,vindgosin,visnaðurí fúgva;uppetin í roti;□eggið er kássað;fiskurin er svímaður;rot er komið í;spilla er komin í(brunnin)spiltur□tvøstið er brunnið(fúnaður)fúgvin,reyðviðaðurbyrjaður, farin at fúna(moðin)karmoðin,kavmoðin,modnaður(spillufongdur)spiltur↔blámuskotin,rot,rotna,turka,turrur
rotingur	síregn
rotinskapur	síóreglulív,rot
rotna	Samheiti:blotna,brukna,esja,fúna,merna,moltast,moltna,morkna,moyrkast,moyrkna,moyrna,mørna,orra,ræsna,ræstna,soyrna,stadna,úlda,úldna,úlma,visnafara í rot;gerast fúgvin, rotin o.fl.;gerast moyrur;gerast ræstur, spikførur o.fl.;□fiskurin er svímaður(rota)fáa til at rotna;lata rotna;leggja at rota(brenna)gerast brunnin(modna)fúna,fyrnska,turrmodna(gera)spillast(gora)spillast(súrgast)súrnagerast súrur↔blámuskotin,rot,rotin,turka
rotnaður	sírotin
rotroykur	síluktur
rottangi	sígoymsla
rottasíður	sívreiður
rottueitur	síeitur
rottuetin	sígnaga,holutur
rottufella	sífella
rottufelli	sífella
rottuhali	síhár,slím
rottuhola	síreiður
rottukattur	síketta
rottukrút	síeitur
rottuoyðing	sídráp
rottur	sínøs,tunglyndi
rottureiður	síreiður
rottutang	sítari
rottutrónur	sífiskur
rottutýning	sídráp
rotubukka	sísjófar
rotuglottur	síljósglæma
rotugluggi	síljósglæma
roturoð	síhúð
rotuskinn	síhúð
rotuveður	síregn
rotvatn	sívatn
rotveður	síregn
rotverja	sívarðveitsla
rov	síbeinaræ,brek,omanlop
rova	síhinna,húð,stjala
rovdjór	sídjór
rovdýr	sídjór
rovfuglur	sífuglur
rovgangur	síeftirspurn
rovhvalur	síhvalur
rovkroppur	sítjóvur
rovuleysur	sísárur
rovuloysi	sísár
royða	sídálk,grót
royðrargeisli	sísessur
royðrarstabbi	sísessur
royðugras	sígras
royðugrót	sígrót
royðugrøv	síá
royðulind	sígrót
royður	síhvalur
royðurók	sírók
royggj	sígras
roykbólkur	síroykur
roykeitran	síeitran
roykfám	síroykur
roykfiltur	sískiljari
roykgras	sígras
roykguva	síroykur
roykhola	síbygningur
roykhús	síbygningur
roykilsi	síluktilsi
royking	síroykja
roykingartubbak	sísigarett
roykistova	síhøli
roykitubbak	sísigarett
roykja	síbáknaSamheiti:fumma,fuva,guva,smoykjadraga royk;fáa, lata sær upp í knavan, pípuna, snuppuna, stúgvin;fáa sær ein royk;festa sær í;roykja ball, pípu, rull, sigar, tubbak, vindil o.fl.;roykja illa, sum ein trolari, turkur;stinga pípuna;□hann festir í við stubbanum, sløkkir ikki;hann kølir ikki pípuna, sigarettina;tað (pípan, sigarettin) kólnar ikki hjá honum(balla)rulla(skráa)brúka, nýta, tyggja skrá;fáa sær eina skrá, skrátuggu, tuggu, ein fjasarulk(snúsa)brúka, nýta snús;fáa sær upp í gluggan;koyra, lata í vørrina(tubbaksnýtsla)royking,skráing,snúsnýtsla,tubbaksnjóting↔roykur,rúka,sigarett
royklittur	sílitaður
roykluktur	síluktur
royknerv	sítevsansur
roykoffur	síoffurgáva
roykremma	sísmakkur
roykringur	síroykur
royksansur	sítevsansur
roykskaði	sískaði
roykstaður	sístað
roykstova	síhøli
roykstovubonkur	sísessur
roykstovubrík	sísessur
roykstovubróst	síveggur
roykstovugólv	síundirlag
roykstovuhorn	síavkrókur
roykstovuskot	síavkrókur
roykstovuveggur	síveggur
royksúla	síroykur
royktám	síroykur
royktevur	síluktur
roykur	síluktur,sigarett,tokaSamheiti:brandaroykur,brunaroykur,busk,dumb,fumma,funi,guva,húsaglaða,húsagóri,húsaroykur,húsaskýggj,húsavesa,húsavesan,húsavøsa,kaldaroykur,kolroykur,krútroykur,lagdur,lampuosi,lampuslím,lokkaroykur,osi,pípuroykur,roykbólkur,roykfám,roykguva,roykringur,royksúla,royktám,torvroykur,sigarettroykur,sigarroykur,sirma,slím,stonguroykur,torvroykur,tubbaksklingra,tubbaksroykur,uppbirtningur,vátaroykur,vesa,vesan,vøsaeitt busk av royki↔roykja,rúka,sigarett
roykvarnari	síávaring
royna	síásttikin,biðla,kanna,upplivaSamheiti:flepra,fleprast,freista,froysta,prøva,vitabjóða til;freista manndóm;ganga og flepra;gera roynd;lata standa sína roynd;royna um ein kann, megnar (at...);vita hvar, hvussu, um o.fl.(passa)roynapassa klæði(r);royna stødd á e-m;vita um e-t hóskar, passar, riggar, situr(royndarkoyra)royndarflúgva,royndarsiglafara, vera royndartúr↔kanna,kannaður,kanning,royndarstøð
roynast	síeydnast,skikka sær
roynd	sífiskiskapur,kanning,próvroynd,sannindi
royndarár	sípróvroynd
royndarbrúk	síroyndarstøð
royndarferð	sítúrur
royndarfiskiskapur	sífiskiskapur
royndarflúgva	síroyna
royndarheimur	síverøld
royndarkoyra	síroyna
royndarløta	sípróvroynd
royndarprædika	sítos
royndarsigla	síroyna
royndarstig	símenningarstig
royndarstova	síroyndarstøð
royndarstund	sípróvroynd
royndarstøð	Samheiti:kanningarstova,royndarbrúk,royndarstova,starvsstova↔royna,roynd
royndartíð	sípróvroynd
royndartroling	sífiskiskapur
royndartúrur	sítúrur
royndarval	síval
royndskygni	sísannindi
royndur	sífullkønur,sannur,útmøddur
royniligur	sísannur
royning	sífiskiskapur
royniviður	síviður
roynslustund	sípróvroynd
royn teg nú	sífast takist
royra	síbinda
roysimikil	síførligur
roysin	sífattur,steyrrættur,vreiður
roysni	síroysnisgerð,veggur
roysningstonn	sítonn
roysnisbragd	síroysnisgerð
roysnisgerð	Samheiti:atroynd,avreksgerð,avreksverk,bragd,bragdagerð,bragdargerð,bragdaverk,diddubragd,fríggjarabragd,heppibragd,herbragd,hóvverk,kallmansbragd,kappabragd,mannaroynd,manndómsbragd,manndómsroysni,manndómsverk,mannroynd,mansbragd,mansgerð,mansroynd,megnaravrik,megnargerð,megnartak,megnarverk,meistarastykki,meistaraverk,roysni,roysnisbragd,roysnisverk,skræði,slóðbrotsverk,stórbragd,stórverk,veldisverk,vælslóðbrótandi arbeiði↔kraftamaður,met,oddamaður,óvinniligur,próvroynd,roysnissteinur,sigra,sigur,snildarbragd,valaverk,vinnari
roysnishugur	sídirvi
roysnismaður	síavtakafólk,kraftamaður
roysnissteinur	Samheiti:hav,neytakonuhav,vektvektir at lyfta↔byrði,kraftamaður,lyfta,óvinniligur,roysnisgerð,sigra,sigur,vinnari
roysnisveggur	síveggur
roysnisverk	síroysnisgerð
roystisveggur	síveggur
roystmansliga	símanniliga
roystmansligur	sídjarvur
roystmenni	síavtakafólk,kraftamaður
royta	síberja,fiska,togaSamheiti:gráa,knokkroyta,plukkahamsa fjøður av (t.e.) royta í smáum, royta varisliga;royta burturav;royta fjaðrarnar av;royta fugl;royta gráan, grátt;royta lummafjaðrar;royta, skálda, svíða fugl;royta til dúns(dúna)avdúna,dýnadúna fugl;royta dúnið samanvið (fjaðrunum);taka dúnið av(royta seyð)neyðroytaroyta áseyð;smildra, splitta seyð↔burturav,koyra uttanav,nakin,nekta
royta seyð	síroyta
roytast	sískeldast
roytingarknívur	síknívur
roytingarøska	síøska
royttur	sínakin
royva	síbíta,førka,reypa,rína við,skaða
royvi	síklæði(r),pláss,ull
royvildi	sípláss
royvimikil	síhovin
royvin	síhovin
royvismikil	síhovin
ró	sífriður,hvíld,tøgn
róðrarbátur	sísjófar
róðrarlag	síarbeiðslag,róður
róðrarleið	sífiskileið
róðrarligur	sísjógóður
róðrarmaður	Samheiti:andøvsmaður,kappróðrargenta,kappróðrarmaður,kloddi,róðrartrælur,róðursmaður,røðari,semingsrøðari,semingur↔róður,rógva
róðrarrúmd	sípláss
róðrarsessur	sísessur
róðrarskúta	sísjófar
róðrarský	sítoka
róðrarskýggj	sítoka
róðrartak	síróður
róðrartrælur	síróðrarmaður,trælur
róðrarveður	sígóðveður
róður	Samheiti:afturróður,andróður,andøving,áraróður,bakkaróður,bátsróður,bógróður,dagsróður,daml,doktararóður,dreingjaróður,dyrgingarróður,genturóður,grindaróður,handilsróður,havnarróður,innanborðskappróður,kappróður,langfararóður,mótiróður,neyðróður,neyðsendarróður,ovróður,ódnarróður,rógving,seiðaróður,semingsróður,semingur,skjútsróður,skotróður,spreingisróður,sprongdarróður,togan,tukan,viðurróðurein harður, tippur, tungur o.fl. róður(áralag)bakfall,róðrarlag,takt(áratak)áraslag,áravørrur,róðrartak,sveip,sveipur,vørrur,vørur↔átak,róðrarmaður,rógva
róðurferð	sískjótleiki
róðurketa	síketa
róðurkraft	sískjótleiki
róðurlína	síband
róðurslína	síband
róðursmaður	síróðrarmaður
róðursteingil	sílás
róðurtúrur	sívaktarhald
róðurtørn	sívaktarhald
rógv	sífriður,goymsla,hvíld,nagli,tøgn
rógva	sífiska,flytaSamheiti:andrógva,andøva,benda,blávørra,dambla,damla,demma,deyðrógva,draga,hamla,kapprógva,kara,kyrja,negla,sveipa,toga,vørraandøva hjá kíki;andøva uppímóti;bláma við árini;draga á;fara, setast til árar;fara undir árar;fáa, hava, rógva andróður;fella í;gera tálgarvørrir;halda (báti) uppí;halda eftir;halda í árarnar;hava fram, framá;hava framyvir;hava gott, ringt áralag;hava, rógva framí;ikki linna ein vørr;kapprógva innanborða, innanborðs;kasta hvølpar;koyra, rógva, skjóta frá;kyrja á;kyrra á;leggja árar(nar) í sjógv, út;leggja (bát) uppí;leggja ein vørr í;leggja í blaktur;leggja út árar;liggja og mýla;mýkja eystfallið, fallið, streymin;rógva aftur, afturá, afturáaftur;rógva á;rógva bakkaróður, kappróður, skotróður o.fl.;rógva fyri seiði;rógva í takt;rógva langan og seigan;rógva spakuliga;rógva sum í grind;rógva (um) kapp;rógva uppaftur;rógva við langan favn;rógva við longum, seigum, stuttum, títtum áratøkum;seta føtur í bekk;setast at rógva, til róðrar;sita í skotinum;sita í skotróðri;sita og fleyga;sita og leppa við árini;sita undir andøvsár;skjóta á;skúgva á;skvatla við árunum;slíta, toga upp land;stinga á;stýra í;taka á árarnar;taka ein vørr;taka, rógva ein harðan róður;títta (á)↔róðrarmaður,róður
rógva framundir	sívísa á
rógvandi	síatkomandi,landvegin
rógva seg	síbetra seg
rógvast	sílekjast
rógving	sígrøðing,róður
rógvur	síkvirrur
rógvusvartur	sílitaður
rók	Samheiti:avrók,brík,búrók,ervarók,eyga,flái,flógvi,fuglarók,grasrók,grótrók,hvannrók,miðrók,mót,oyðipallur,oyðirók,pallur,poknueyga,rákamót,rákarendi,rákarlag,rákarskapilsi,royðurók,rókarbelti,rókarendi,rókarlag,rókarskapilsi,sandrók,sjøt,sjøtil,sjøtul,sornur,spíld,spílda,spor,stalli,stallur,stapi,stelli,stellingur,treppa,tøkurók(hamari)brúgvarnám,hamar,hamarsklettur,hamarspallur,hamarsskapilsi,hamarsspjalli,hjallabrúgv,hjallamunni,hjalli,loftsbringa,loftsklettur,sornur,spjalli(mjækki)mjái,mjógvi,mjóki,mjóvi,strik↔berg,drangur,fjall,kneysur,reiður
róka	síferðast
rókadagur	sívánatíð
rókaferð	sítúrur
rókarbelti	sírók
rókarendi	sírók
rókarlag	sírók
rókarskapilsi	sírók
rókartrom	síútlinja
rókutur	sírukkutur
ról	síreyp,róphol,skríggj
róla	síførka,ganga,reypa,siga,skríggja
rólan	sískríggj
rólari	síreypari
róliga	Samheiti:drúgt,drúgvan,fáliga,fridliga,friðarliga,isi,isiani,langan,líðandi,makliga,ráðiliga,ráðuliga,sáttliga,seigan,seigliga,seinliga,seint,sinniliga,smátt,sogliga,spakliga,spakuliga,spalliga,stillan,stillisliga,stilt,tolisliga,tvistikki for, ov glúpskt;í frið(i) og náðum, sátt og semju;í (so fullgott) mak;í, við frið(i), tolni;í, við (góðum) toli;í øllum blíðum, góðum;langan og seigan;stilt og róliga;við gott hald, við góðfjøldum, góðum;við hógv, máta, varni o.fl.;við lítlan skund;□hann (báturin) gongur ikki fyri seið, seiði;tað er sum at sita á einum skeri (og rógva), tað gongur ikki fyri seið, seiði(smáliga)sparsamligaí smáum↔bíða,bíðan,drál,leingi,letast,lirka,líðandi,seinpjakutur,tíðkast,vaksandi,vandaliga
róligur	síblikastillur,hóvsamur,kvirrur,óttaleysur
róma	sílovprísa
rómabiði	síspann
rómakiska	síkvinna
rómakrukka	sífløska
rómalittur	sílitaður
rómareyður	sífríðdæmdur
rómastampur	síkassi
rómastigi	sítrappa
rómi	síroði
rómur	sílevind,ljóð,skríggj
ró nú snopprikkur	sífast takist
róp	síákall,ljóð,skríggj
rópa	síbákna,kalla á ein,nevna,reypa,skríggja
rópan	síljóð,skríggj
rópast	sínevna
róphol	Samheiti:geitureki,geituskøltur,gorr,gólari,kjaftakelling,kjaftseil,munnskelmur,orðavargur,ról,skol,skolhelli,skról,skúmisleiv,snjallabjalla,snjallibjalli,snjallubjalla,sprákari,tólvmannahol,veggjarsleggja↔heimild,reyp,reypa,reypari,reyputur,slatrivætti,upp á rós,upplop
róptur	sínevna
rós	síheiðursløn,lovorð
rósa	síførka,lovprísa,reypa
rósorð	sílovorð
rósudæmi	síroði
rósulittur	sílitaður
rósureyður	sílitaður
rósutur	síprikkutur
rósuvatn	síluktilsi
rósverdur	sífrálíkur
rót	síoddamaður,skyldfólk,ull,viðarbulur
róta	sídreiva,falla,grópa,leita,snorka
rótafræ	sífræ
rótakál	síjarðarstykki
rótan	sísjóvarilska
rótangi	sígróðurnál
rótarkvistur	sígróðurnál
rótarmikil	síveðurringur
rótaskal	síyvirflati
rótaskræpa	sílortur
rótastuldur	sístuldur
rótateigur	síjarðarstykki
rótatjóvur	sítjóvur
rótavelta	síjarðarstykki
rótavelting	sídyrking
rótbitin	síavgnagaður
rótbíta	sígnaga
rótendi	síviðarbulur
rótfastur	sístaðfastur
rótfesta	sírótfestast
rótfestast	Samheiti:festast,jarðfesta,jarðfestast,rótfesta,røtastfáa, festa rót, røtur;fáa hala;festa seg;grógva, vaksa fast;koma fyri seg↔búsetast,festast,staðfastur
rótfestur	sístaðfastur
rótføroyskur	síføroyskur
rótgnaga	sígnaga
rótgreining	síspjaðing
rótgrógvin	sístaðfastur
rótleysur	síheimleysur
rótloysi	síheimloysi
rótnagga	sígnaga
rótrotin	sírotin
