dálka	Samheiti:blekka,dunnast,gríma,hógva,hóva,hunddálka,hundvaða,hundvevja,íma,klaka,klakka,klatta,kleyva,kleyra,kráma,marra,meiggja,olja,óreinska,pleira,pleyra,runast,seyrga,skeina,slóða,smitta,snyka,snykdálka,solka,sóta,spora,sulka,svansa,søla,tveggja,válkadálka, meiggja, skitta, smitta o.fl. e-n til, út;fletta í reyðadeyða;gera e-n runutan, skitnan o.fl.;hekla, marra, skeina, e-t út;kleima, olja, smyrja e-t út í, við e-m;vaða runt í, uppi í e-m↔dálk,grugg,grugga,lita,skitføri,skitin,sótAndheiti:vaska
dálkaður	sískitin,vátur
dálkan	sídálk,illveður
dálking	sídálk
dáma	sífortorgaSamheiti:haga,hóva,huga,hugna,hugnast,líka,tokna,vurða,ynda,ynnabera, hava tokka til e-t;brýggja, kæra seg um;eira væl við;halda av;halda e-t vera vert at eiga;hava áhuga á, fyri e-m;hava eiri í e-m;hava gott eyga til e-n, e-t;hava umsorgan fyri;hava yndi til e-t;láta væl at (e-m);leggja (lag) í;lítast væl á;meta høgt;seta til háborðs;sýna nøgd;sýna, vísa e-m áhuga, umsorgan;tykja tokka í e-m;vera góður við;vera nøgdur;□e-m hugnar, hugnast e-n, e-t;e-m líkst væl á e-t;e-m rennur týður at e-m, til e-n;e-m skínur á e-t;e-m tykir, tykist ogn í e-m;e-t dámar, fellur, hóvar, líkar e-m væl;har er væl atlátið(avhildin)dámdur,elskaður,háligur,hávirdur,heiðraður,heiðursverdur,kendur,mætur,umhildin,umtóktur,umvirdur,upphevjaður,viðurkendur,virdur,virðiligur,virðingarverdur,væltoknaður,ærdurhátt, høgt, nógv heiðraður, mettur, virdur, ærdur;høgt, høgur í metum;settur til háborðs;væl dámdur, líddur, lýddur, toknaður;sum stendur í (nógvum) mæti;□e-t toknast e-m;hann hevur góða fólkaeydnu, fólkaskepnu, stendur væl í fólkaeygum↔áhugaður,ástarlív,ásttikin,biðla,fortorga,fríggja,góðsintur,hugtaka,tímaAndheiti:hata
dámaður	sídæmdur
dámdur	sídáma
dámligur	sígóðsintur
dámur	síeyðkenni,littóni
dána	sísvíma
dánaður	sískikkaður
dánarfæ	síogn
dánilsi	síóvit
dánt	síso dánt
dánur	síhóskiligur
dára	síhugtaka
dárabragð	sídáragerð
dáragerð	Samheiti:dárabragð,dáralop,dáralæti,dáraverk,fjantavesin,fjákalótir,fjákavesin,óðamannaverk,óhyggi(r),óráðbýttligar, skaputar lótir;fjas og fjant;fják og fjas;skilaleys, vitleys gerð(fjas)fár,fjant,fják,fras,spæl,tvætl(nyttuloysi)ógagn,ógagnsverk,ónytta↔barnaskapur,býttisskapur,býttlingur,fjákast,lótir,tápuligur,vansketniAndheiti:snildarbragd
dáralop	sídáragerð
dáralæti	síbýttisskapur,dáragerð
dárandi	síatdráttarmikil,vakur
dáraverk	sídáragerð
dári	síbýttlingur
dárskapur	síbýttisskapur
dási	sílampa
dáta	sítíðarfesting
dáttliga	síbrádliga
dáttligur	sítilviljandi
degna	símorgna
degning	símorgun
degningsæl	síregn
degningur	símorgun
deiga	síbarn,førka,ganga,kvinna,letast
deigbleytur	síóhvassur
deigdirðil	síknívur,vánamaður
deiggja	sídreiva,elta,smyrja
deiggjhøna	síkventil
deiggjutur	sískitin
deigiligur	sígóðsintur,vakur
deignari	síkventil
deigningartrog	sítrog
deigur	síkensluligur,óhvassur
deigutur	síseinpjakutur
deila	síbýta,illsinnisgleps,orðaskifti,ósemja,rokna,skelda
deilan	síillsinnisgleps,orðaskifti,ósemja
deilast	sískeldast
deild	síherlið,jarðarstykki,luteind
deildarljósmóðir	síljósmóðir
deildur	sísundurbýttur
deiliga	síógvuliga,yndisliga
deiligur	sífrálíkur,góðsintur,hugnaligur,vakur
deiling	síbýti,illsinnisgleps,orðaskifti,ósemja,útrokning
deilurit	sískriv
deingja	síberja,dreiva,førka,tveita
dekan og	síríkiliga
dekansligur	símannvándur
dekanssettur	símannvándur
dekanssignaður	símannvándur
dekansskapur	síóndskapur
dekk	síundirlag
dekkari	sísjómaður
dekkbátur	sísjófar
dekkur	síundirlag
deksbátur	sísjófar
deksfar	sísjófar
deksfarmur	sífarmur
deksmaður	sísjómaður
dekspláss	síferðapláss
deksstólur	sísessur
dekstúrur	sívaktarhald
dekstørn	sívaktarhald
deksvakt	sívaktarhald
deld	sídalur
delfin	síhvalur
dellaglas	sílampa
dellur	sílampa
demba	sísteingja
demma	síhylur,rógva,steingja
dentur	Samheiti:áherðing,áherðsla,høvuðsdentur
depil	síblettur
depilsmyrkur	síævintýrhugtak
depla	sípensla
deplutur	sílitaður,prikkutur
derla	sílortur
dertingur	sívánamaður
des	síhoyggj
desasneið	sígjald,veitsluhald
desasneis	sígjald,veitsluhald
destin	síreyputur
detta	sífalla,rapa,snáva
detta av	Samheiti:falla avfalla frá(avdetting)vitloysi vegna ovdrykkju(avdottin)avfallin,drykkjudeyður,fráfallin↔drankari,drekka brennivín,drukkin,drykkjuskapur,hava timburmenn,kenning,ódrukkin,timburmenn
detta burturímillum	sífána
devilin	síSátan
devulin	síSátan
devulsliga	síógvuliga
devulsligur	símannvándur
devulssettur	símannvándur
devulsskapur	síóndskapur
devulstíð	sínoktan
deyda	síeftirbátur
deydakendur	síseinpjakutur
deydaleika	síglas,vánamaður
deydasligur	síseinpjakutur
deydligur	síkeðiligur,kraftleysur,latur,svárur
deydningabein	síbeinaræ
deydningur	síbeinaræ
deyða	síavlíva
deyðaangist	síræðsla
deyðaatvold	síorsøk
deyðaár	sídeyði
deyðabangin	síbangin
deyðableikur	síbleikur
deyðaboð	síboðan
deyðabrekaður	síhálvdeyður
deyðabrot	sídeyði
deyðabúgv	sígáva,ogn
deyðadagur	sídeyði
deyðadómur	sídómur
deyðadráttur	sídeyði
deyðadrukkin	sídrukkin
deyðadums	sílíkasæla,órøkiskapur
deyðadyng	sígras
deyðadyngja	sígras
deyðadyngur	sígras
deyðadýrd	sígóðveður
deyðafall	sídeyði
deyðafíggindi	sífíggindi
deyðagivin	síútmøddur
deyðagras	sígras
deyðahald	sítak
deyðakaldur	síkaldur
deyðakav	síbládýpi
deyðakvirra	sítøgn
deyðakvirrur	síkvirrur
deyðakvøl	síræðsla
deyðakyrra	sígóðveður
deyðakyrrur	síblikastillur
deyðalega	sídeyði
deyðaleiddur	síkeddur
deyðalogn	sígóðveður
deyðalýsing	síboðan
deyðamein	Samheiti:banahøgg,banasár,banaskot,banastingur,deyðamerki,deyðastingur,deyðasvíkur,mønustingur,ólívssár↔avlíva,deyði,deyður,doyggja,dráp,drápsmaður,gálgamatur,hálvdeyður,skaði
deyðamerki	sídeyðamein,deyði
deyðamerktur	síhálvdeyður
deyðamóður	síútmøddur
deyðamyrkur	símyrkur
deyðamøddur	síútmøddur
deyðaótti	síræðsla
deyðapøstur	síútmøddur
deyðarað	síbeinaræ
deyðarak	sírakfallin
deyðarák	sístreymur
deyðarevsing	sírevsing
deyðaríki	síhelviti
deyðaræddur	síbangin
deyðaræðast	síræðast
deyðaræðsla	síræðsla
deyðasekur	sísekur
deyðasina	sígras
deyðasjúka	sísjúka
deyðasjúkur	sísjúkur
deyðaslættur	síblikastillur
deyðaspakur	síblikastillur,spakur
deyðaspor	sídeyði,gonga
deyðastilli	sígóðveður
deyðastillur	síblikastillur,kvirrur
deyðastingur	sídeyðamein,endi
deyðastívi	sístinnleiki
deyðastrá	sídeyði
deyðastríð	sídeyði
deyðastund	sídeyði
deyðasvangur	sísvangur
deyðasvíkur	sídeyðamein
deyðasynd	sísynd
deyðasærdur	síbrekaður
deyðasøk	síorsøk
deyðatak	síátak
deyðatal	síyvirlit
deyðatroyttur	síútmøddur
deyðatystur	sítystur
deyðatøgn	sítøgn
deyðavandi	sívandi
deyðavatn	sífjørður,hav,streymur
deyðavatnsfjørður	sífjørður
deyðaváði	sívandi
deyðaválk	síeftirbátur
deyðaváttan	síváttan
deyðborin	símissa fostur
deyðburður	síbarn
deyðfolað	símissa fostur
deyðføddur	símissa fostur
deyðgamal	síaldrandi
deyðgingin	síútmøddur
deyðgivin	síútmøddur
deyði	síendi,undirgangurSamheiti:andlát,avrot,bani,barnadeyði,beinalega,blóðbað,blóðvitnisdeyði,bráðdeyði,burturferð,deyðafall,endalykt,endastund,endi,fall,felli,ferðsludeyði,fólkaskaði,fráfall,friður,fútadeyði,gamlaseyðadeyði,grasdeyði,harradeyði,hel,hungursdeyði,hvíla,hvíld,krossdeyði,lambadeyði,lambafelli,lívlát,lívloysi,lívslok,mannadeyði,mannafelli,mannfall,mannfelli,mannskaði,mannsláttur,mannspell,ódeyði,rakdeyði,seyðadeyði,seyðafelli,seyðdeyði,stórfelli,strádeyði,summardeyði,svartafelli,útideyði,várdeyði,vøggudeyðiævig hvíla, hvíld;ævigur friður(andaleyp)andalátilsi,andaleypsbrot,andalop,andaskifti,brot,brotakøst,deyðabrot,deyðadráttur,deyðafall,deyðalega,deyðaspor,deyðastrá,deyðastríð,fjørbrot,hjartakreppingarseinasti andadráttur;seinastu fótaspor(deyðadagur)banastund,deyðaár,deyðastund,doyggingardagur(deyðin)líggjamaðurin,skrinkilsmaðurindeyðin við líggjanum;maðurin við líggjanum(feigd)deyðamerki,feigdarár,feigdardagur,feigdarnátt,feigdarspor,feigdarstund,feigð↔avlíva,beinaræ,deyðamein,deyður,doyggja,dráp,endi,følna,grøv,jarða,ólagna,skaði,undirgangur,vánatíðAndheiti:føðing,lív,nøring
deyðiligur	síforgeingiligur,torførur
deyðin	sídeyði
deyðklinka	sísmíða
deyðkomin	síhálvdeyður
deyðkyrra	sígóðveður
deyðkyrrur	síblikastillur
deyðlaðin	sílaðin
deyðlamin	síbrekaður
deyðleiður	síkeddur
deyðlúgvaður	síútmøddur
deyðmaktaður	síútmøddur
deyðmóður	síútmøddur
deyðmøddur	síútmøddur
deyðreinsa	sívaska
deyðrógva	sírógva
deyðræddur	síbangin
deyðsaligur	sílatur
deyðsamligur	sídølskur,latur
deyðsamsligur	sílatur
deyðsboð	síboðan
deyðsbúgv	sígáva,ogn
deyðseyðakrógv	sígoymsla
deyðseyðalamb	síbeinaræ,seyður
deyðseyðaleingja	síbeinaræ,seyður
deyðseyðaskinn	síhúð
deyðseyðaskrokkur	síbeinaræ,seyður
deyðseyðaull	síull
deyðseyðaær	síbeinaræ,seyður
deyðseyði	síbeinaræ,seyður
deyðseyður	síbeinaræ,seyður
deyðsfella	sístað
deyðsiglari	sísjófar
deyðsjúka	sísjúka
deyðsjúkur	sísjúkur
deyðskotin	síbrekaður
deyðslættur	síblikastillur
deyðsmansboð	síboðan
deyðsmanssálmur	sígremja seg,sangur
deyðsótti	síræðsla
deyðspakur	síblikastillur,kvirrur,spakur
deyðstungin	síbrekaður
deyðsvangur	sísvangur
deyðsynd	sísynd
deyðsærdur	síbrekaður
deyðtystur	sítystur
deyður	Samheiti:andaður,andleysur,avsigldur,avsovnaður,avstarvaður,bergfallin,burturbløddur,burturgingin,druknaður,fallin,farin,fyribeindur,følnaður,hálsleysur,heimfarin,innideyður,kaldur,kódnaður,kóvnaður,lívleysur,omandottin,sálaður,sjálvdeyður,sjólátin,sloknaður,slysaður,sløknaður,sóttdeyður,starvaður,steindeyður,sældur,týndur,umkomin(sáli)sáligur,sálugur,sálur,sælurútdeyður;útideyður;deyð av, í barnaferð, barnferð, barnsferð;deyð í barnsneyð;deyður av helstríði;deyður av, í armóð, hungri, raki, várraki;deyður á song;deyður fyri mannahond;deyður fyri tíðina;deyður í bráðdeyða, raki;deyður í egginum, gólvi, móðurlívi, vøggu(ni);dottin oman;fallin á vali, í bardaga, kríggi, víggi;fallin, farin í bjørgu(nu)m, til bakka;fallin frá;farin av døgun, í bláuskor;farin frá foldum, heimi, jarðarríki;farin fyri bakka, undir heilt;farin heim, í annað ljós, av foldum, av verðini, til hvíldar, yvirum;farin hiðani;farin í Harrans hendur, til himmals, upp til Harrans;fjaraður, sovnaður burtur;hungraður, svøltaður í hel;komin fram;sigldur av;sovnaður burtur;sprungin av harmi;sældur t.e. deyður og jarðaður;□deyðin læt upp fyri honum;hann er farin í annað ljós;hann er ikki longur millum okkara;hann hevur rógvið sín fjørð;hann gekk ikki av árinum, livdi ikki aftur í árið, ikki árið út;hann liggur lágt;hann var fluttur um sýn;hann var ikki langlívaður;hansara fjørður, lívsfjørður er rógvin;har var ikki lívført;nú er hann sloppin;nú er loyst upp fyri honum;nú hevur hann fingið frið, hvílu;tað kvaklaði, larraði, lirraði, spann ikki í honum(vera deyður)hvíla, liggja, vera undir grønu torvu;hvíla undir flag, torvu;liggja á skinni(num);liggja lágt;liggja lík;liggja sveiptur;liggja við mold á múla;standa undir børu;vera andaður, farin, sálaður, starvaður o.fl.;vera deyður og jarðaður;□hann liggur nú í sínari grøv;hann var ikki langlívaður, var stuttlívaður↔avlíva,beinaræ,brunnin,deyðamein,deyði,doyggja,dráp,endaður,gálgamatur,hálvdeyður,følna,grøv,jarða,jarðarferð,sjúkur,útmøddurAndheiti:liva,livandi
deyma	sístinka
deymur	síluktur
deysa	sífalla,snáva
deyvamál	sítungumál
deyvdumbur	sídulur,málleysur
deyvleiki	sídulur
deyvligur	síkraftleysur,smakkleysur
deyvur	sídulur
diamantborur	síborur
diamantbrúdleyp	síveitsluhald
diamantnám	sínám
diamantur	sígrót
didda	síbarn,fosturmóðir,kvinna
diddarak	sírakfallin,soltinskapur
diddubragd	síroysnisgerð
diddur	sísoltinskapur
diddurak	sírakfallin,soltinskapur
didrarak	sírakfallin,soltinskapur
dieselmotorur	símotorur
diffil	sísjófar
digg	síítriv
digga	sífuglur,kitla
diggast	síkitla,putla
digguburr	síhálsur
diggur	sírúsdrekka
digitalur	síklokka
digla	síblettur,ull
diglutur	sílitaður,prikkutur
digur	sídygdargóður,førligur
dik	síátak,baksan,duk,vøkstur
dika	síberja,skunda sær
dikka	síljóða
dikkast	síputla
dikkur	sísjófar
dilda	sídanda,eftirbátur,letast
dilkadrongur	síótangi,vánamaður
dilkur	síseyður
dilla	sídanda,rista
dillari	sífitibjølgur
dimma	síavlitkast,litaSamheiti:aftna,akna,avdagast,avdegnast,blána,dagseta,dimmast,døkkast,eftna,grána,halla,kvølda,kvøldseta,líða,myrkja,myrkjast,myrkna,seinka,seta,skumla,skýma,skýmla,sortnaaftna dag(in), degi;dimma av nátt, móti nátt;fara at aftna dagur;fara at dimma, kvølda, myrkja, skýma;ganga hin vegin;ganga (í)móti...;gerast dimmari, myrkt;líða at, móti kvøldi;líða fram, út;líða til midnátt, miðnátt;líða (út) á dagin, kvøldið, náttina, summarið;myrkja av nátt;standa á dimminum;taka at aftna, dimma(st), kvølda;vera á halli;verða dimmari, kvøld, myrkari;verða myrkt av nátt;□dagurin setur;náttin dettur niðuryvir↔dimmi,líða,seint,seta,síðla,útliðið
dimmabrúnur	sílitaður
dimmagráur	sílitaður
dimmagrønur	sílitaður
dimmagulur	sílitaður
dimmalætting	símorgun
dimmareyður	sílitaður
dimmast	síavlitkast,dimma
dimmbláur	sílitaður
dimmblettutur	sílitaður
dimmbrúnur	sílitaður
dimmbrýntur	sílitaður
dimmgráur	sílitaður
dimmgrønur	sílitaður
dimmholdaður	sílitaður
dimmhærdur	sílitaður
dimmi	sídøkki,myrkurSamheiti:aftan,aftanstund,aftantíð,avlýsing,dagsaskeið,dagsetur,dagsetursskeið,dimming,hádimmi,hálvadimming,hálvalýsi,hálvaskýming,heystardimmi,kveld,kvøld,kvøldarløta,kvøldarstund,kvøldartíð,kvøldlýsi,kvøldmál,kvøldmyrkur,kvøldseta,kvøldstund,ljósatendring,midnátt,miðnátt,morgundimmi,myrkur,nátt,náttardimmi,skýmd,skýmind,skýming,skýmingarløta,sólarlag,sólarsetur,sólsetur,summardimmi,summarskýming,ternudimmi,várskýmingí skýmingini;um dimmið, hádimmið, kvøldið, kvøldmál, midnáttarleitið, mjólkingartíð, nátturðatíð, sólsetur↔dimma,seint,síðla,útliðið,morgun
dimmilíri	sífuglur
dimmilundi	sífuglur
dimmilætting	símorgun
dimmjarpur	sílitaður
dimmleittur	sílitaður
dimmligur	sílitaður,tokutur
dimmlittur	sílitaður
dimmlýsi	síljósglæma,myrkur
dimmmorreyður	sílitaður
dimmoygdur	sílitaður
dimmplettutur	sílitaður
dimmprikkutur	sílitaður
dimmreyður	sílitaður
dimmskjórutur	sílitaður
dimmskýggjaður	sítokutur
dimmur	sílitaður,svárur,tokutur,veðurringur
dimmveðraður	sítokutur
dimmviðrað	sítokutur
dimmviðri	sítoka
dims	sísindur
dingla	síførka
dinkuldrív	síletingi
dint	síduk
dinta	síberja
dintil	síafturpartur
dintilsgóður	sístoltur
dintlast	síputla
dirðil	síafturpartur,fuglur,rakdirðil,tríalingur,vánamaður
dirka	síopna
dirl	síeftirbátur,kallskøp
dirla	síførka,ganga
dirra	síhindra
dirta	síførka
dirtl	síeftirbátur,kallskøp
dirtla	síganga
dirvast	sívága sær
dirvi	Samheiti:alvi,áræði,dáðfýsni,driv,ekkaloysi,fyritaksandi,hetjuskapur,hugdirvi,høvdingakyn,knáleiki,manndómur,mansdirvi,manshjarta,manslyndi,manslæti,mansmót,menska,móður,mót,nasadirvi,óttaloysi,raskleiki,reystleiki,sjálvsálit,sjálvtreyst(i),sjálvvissa,tarvamót,tilboð,tiltak,treyst,treysti,treystleiki,úthaldni(ovdirvi)ovurdirvi,óráðtøkni,vágan(framfýsni)arbeiðshugur,arbeiðssemi,arbeiðsvilji,bragdarhugur,frambræði,framburðarstrev,framdráttur,framferðarhugur,framfýsi,framsøkni,framtaksandi,framtakssemi,fyritaksandi,fyritakssemi,roysnishugur,tilboð,tiltak,virkisfýsni,virkisgleði,virkishugur,virkistrá,virksemihugur til framtøk;sálarlig megi(stríðsvilji)bardagahugur,stríðshugi,stríðshugur,víggjahugur↔bjartskygni,djarvur,frekleiki,kravmikil,manniliga,megi,nasadjarvur,óttaleysur,vága særAndheiti:mótloysi,ræðsla
dirvin	sídjarvur
dirvisgóður	sídjarvur
dirvisleysur	símótfallin
dirvisliga	símanniliga
dirvisligur	sídjarvur
dirvislítil	símótfallin
dirvisloysi	símótloysi
dirvisloysingur	síræðuskítur
dirvismikil	sídjarvur
dirvisorð	símegnarorð,tos
disja	sídanda
disjutur	síkvapsutur,litaður
diskaslá	síhaldari
diskast	síarbeiða
dism	síregn,sindur
disma	sífúka,regna
disp	síregn
dittimundur	síkravmikil,nasadjarvur,ótangi
dittin	síkravmikil,nasadjarvur
dittinfúsur	sívilligur
díki	síhylur,kelda
díkja	síberja
díkjutur	síbleytlendur
díla	síblettur
díli	síblettur
dílutur	sílitaður,prikkutur
dímunarknútur	síknútur
dímunarseyður	síseyður
dírin-dí	sískríggj
dís	síævintýrhugtak
djarvliga	símanniliga
djarvligur	sídjarvur
djarvmæltur	sídjarvur
djarvnasaður	sínasadjarvur
djarvoygdur	sídjarvur
