bangin	Samheiti:babbaræddur,bangafullur,bebbaræddur,bergræddur,bibbaræddur,bøbbaræddur,deyðabangin,deyðaræddur,deyðræddur,ekkafullur,ekkamikil,ekkasamur,fjáltraður,fjáltrutur,fjálturkendur,fjálturskotin,fjálturstungin,flogræddur,forfardur,forkroystur,forsagdur,gjøgnumskakaður,hálvbangin,hálvræddur,helsligin,hjartbangin,hjartkiptur,hundræddur,hvokkin,kløkkur,konufólkaræddur,ljósskjarur,myrkaræddur,ódjarvur,ómansligur,órógvasamur,órógvin,órógvur,óróligur,ótryggur,óttabundin,óttafullur,óttakendur,óttaligur,óttamikil,óttasamur,óttasligin,ræddoygdur,ræddur,ræðslubundin,ræðslukendur,ræðslusligin,ræðslutikin,skakaður,skakkur,skeittur,skelkaður,skjølkaður,skrúgvuleysur,skrúvuleysur,smeikin,trøllaræddur,trøllræddur,uppskakaður,ørræddurbangin av sær;bangin um e-t, fyri e-m;bundin av ótta;fullur í nervum;hamskiftur av bangilsi, ótta;heitur um seg;heitur um skallan;helsligin, lamin, lamsligin, stívur, uppskakaður, øroygdur av bangilsi, ræðslu;ikki álvuligur;illa skeittur;illa við;lítið djarvur;merktur av angist, ræðslu o.fl.;trongur um e-n;uppi á floti, uppi í strúgva;við bangnum hjarta;við bivan og øtan, ótta og bivan;við eygunum á baki;við hjartanum í aðrari brókini, í vinstru brók, uppi í hálsinum;□hann sær trøll á alljósum, ljósum degi, undir hvørjum steini;hárið, hárini reisa seg á høvdinum;hárið krýpur á høvdinum;hjartað er í brókunum;honum varð dátt við;tá varð honum dátt við dagin;um eg varð skorin á háls, stungin so hevði eg ikki bløtt↔fólkaskýggin,her gerst einki,lítillátin,mótfallin,mótloysi,ógvast,óhugnaður,ræðandi,ræða,ræðast,ræðsla,ræðuskítur,skelkandi,smásárur,smædni,smæðast,smæðin,styggjast,styggur,vandi,vánamaðurAndheiti:djarvur,óttaleysur
bangni	síræðsla
bani	sídeyði,drápsmaður,endi
banjari	síbotnur
bank	síduk,ljóð
banka	síberja,ljóða,smíða
bankabók	síyvirlit
bankað	síógvuliga
bankaður	símannvándur
bankaeftirlit	síeftirlit
bankafiskur	sífiskur
bankahøvd	síhøvur
bankakanning	síkanning
bankakonto	síroknskapur
bankalán	sílán
bankaseðil	sípeningur
bankatoskur	sífiskur
banki	sífiskileið,goymsla,grót,lánistovnur
bankur	sífótur
bann	síbannseta,forboð
