úla	sífuglur
útgerðarfelag	síreiðarí
útgerðarlán	sílán
útgerðarmaður	síreiðarí
útgerðarvirki	síreiðarí
útgevingartrýst	sítrýst
útgiftur	sígiftast
útgingin	sítómur
útgivin	sívirðismettur
útgjald	sígjald
útgjalding	sígjald
útgjar	síagn,lokkuboppa
útgjaring	sífreisting
útgjørdur	síílatin,tilbúgvin
útgløddur	síkannaður
útgonga	sígonga
útgongd	síinngongd
útgongubann	síforboð
útgrátin	sísorgarbundin
útgreiðing	síallýsing,frásøgn
útgreiðsla	sígjald
útgreina	sínágreina
útgreining	síallýsing
útgrunnur	síatgrunnur
útgrynka	síhalli
úthaldni	sídirvi,megi
úthamur	síyvirflati
úthandil	sísølubúð
úthav	síhav
úthavn	sífjørður
úthálari	síband
útheimur	sístatur
úthella	sítøma
úthelling	sítøming
úthendi	síyvirlit
útholaður	síhjóla
úthorn	sífjarleið
úthugur	síferðahugur
úthungraður	sísvangur
úthurð	sílok
úthús	síbygningur
úthvíldur	síómóður
úthýstur	síhindraður (í at...)
úti	síburturstaddur,endaður
útiarbeiði	síarbeiði
útiá	síovarlaga,uttansyndis
útiblíður	sígóðsintur,harðhjartaður
útibú(gv)	síluteind
útidagur	sígóðveður
útideyðaveður	síillveður
útideyði	sídeyði
útideyður	sídeyður
útidyr	síinngongd
útidystur	síkapping
útiferð	sítúrur
útifundur	sífundur
útifyri	síuttansyndis
útiføroyingur	síflóttafólk
útigloymdur	síleypa um
útigonga	sígonga
útigólv	síhækkað gólv,tún
útihoyggj	síhoyggj
útihýsa	síreka úr starvi
útihýstur	síheimleysur,hindraður (í at...)
útiítrótt	síkapping
útiklæði(r)	síklæði(r)
útilagstur	síburturstaddur
útilega	sílega
útileikur	sístuttleiki
útilið	símanning
útilív	sígerandislív
útiljós	sílampa
útiloka	síreka úr starvi
útilokaður	síhindraður (í at...)
útiluft	síhimmalhválv
útiluktur	síluktur
útilykt	sílampa
útiløga	sílega
útiløgudrongur	síflóttafólk
útiløgufressur	síketta
útiløgukattur	síketta
útiløguketta	síketta
útiløgumaður	sítjóvur
útimøti	sífundur
útinna	síarbeiða,enda,greiða frá
útinnandi vald	sívald
útinning	sígerð
útipera	sílampa
útiróður	sífiskiskapur
útisavn	sígoymsla
útiseta	síheimloysi,rekavætti
útiseti	síflóttafólk
útisetur	síheimloysi
útispæl	sístuttleiki
útistaddur	síburturstaddur
útistarv	sístarv
útistongdur	síheimleysur,hindraður (í at...)
útistova	síbygningur
útistrok	sírekavætti
útiveður	sígóðveður
útivið	sínæstan
útiviðbót	síískoyti
útivøllur	sístað
útiyvir	síovarlaga
útjaðar	síútlinja
útjaðari	síútlinja
útkalt	síbrunnin
útkleimdur	sískitin
útklíndur	sískitin
útklykt	síkima
útkoma	sígjald,líkindi(r)
útkoyrdur	sífrákoyrdur,heimleysur
útkoyring	síflutningur,inngongd,koyrivegur
útkólnaður	síbrunnin
útkrámaður	sískitin
útkrotaður	sískera út
útkøldur	síbrunnin
útlagdur	síheimleysur
útlagin	síheimleysur
útlagstur	síburturstaddur,heimleysur
útland	sístatur
útlandaferð	sítúrur
útlán	sílán,lánistovnur
útlánsdeild	sílánistovnur
útlánsfelag	sílánistovnur
útlánsrenta	síyvirskot
útlát	síframsøgn,gjald
útlegd	síheimloysi
útlegdarstjórn	sívald
útlegg	síútreiðsla
útlegging	síallýsing,týðing
útleggja	síumseta
útleigari	sívertur
útleiki	sístrekki
útlemstraður	síútmøddur
útlendingur	sífremmandamaður
útlendis	síburturstaddur
útlendskur	sífremmandur
útlendur	sífremmandur
útliðið	Samheiti:árliðið,árligt,framliðið,várað,sumraðliðið út á árið;lítið, nógv árliðið;einki, langt, lítið, nakað, nógv framliðið;□dagurin er ungur, náttin er ung↔altíð,brádliga,dimma,dimmi,fyribils,fyrr,fyrst,higartil,hvat er klokkan,ikki enn,leingi,liðin,líða,líðandi,lívstíð,løta,nú,ofta,seint,síðani,síðla,skjótt,tíðarskeið,tíðliga,upprunaliga,varandi,æviga
útliðin	síliðin
útliður	síliður
útliman	síavtøka
útlimur	síarmur,gongulimur
útlinja	Samheiti:andlitsgrein,liðmynd(fjalltrom)ásur,bakkatrom,bergsegg,bergstrom,bergtrom,bjargamót,egg,eggjartrepi,eggjartrom,fjallagrein,fjallaryggur,fjallarøð,fjallatrom,gilstrom,gjáartrom,gjótrom,grein,hamarstrom,kjølur,kletstrom,leiti,rókartrom,røð,skøllur,skør,skørr,skørra,snups,sýn,sýna,trepi,tvørbitni,tvørupsa,uks,ups,upsa(kantprýði)bendil,blonda,bordi,borði,brot,fastarond,fles,fluggur,garnering,hálsur,holbordi,holfaldur,holufaldur,kantband,kanting,knipplingur,kvarði,leysarond,líning,líningur,manskett,rand,rond,rúður,sorgarrond,spelverk(karmur)borðstokkur,durakarmur,gluggakarmur,koyggjukarmur,ljóarakarmur,ljóarakista,ljóaraskrín,lúkukarmur,ramma,rammi,umgerð,umgjørð,vindeygakarmur(listi)gerikt,forfjøl,fótlisti,fyrifjøl,gólvlisti,kantur,koyggjustokkur,loftlisti,pallstokkur,songarstokkur,stokkarøð,stokkur(sjónargrein)býarjaðari,daging,grein,havbrúgv,havbrún,havsbrúgv,havsbrún,hæddgrein,sjónarringur,skógarbrún,skógarjaðar,skógarjaðari,skógarmark,skógarnám,skógbrún,skógjaðar,skógjaðari,umgrein,umgreining,umhvarv,væðing(trom)borð,breddi,brot,brún,kantur,lemstrom,loftstrom,pottatrom,røð,tróskur,undirtrom,vankantur,yvirtrom(útjaðari)gjarnám,grasing,grasmáli,grasnám,jaðar,jaðari,streymjaðari,útarvi,útjaðar,útmark,útryðja,vallnám,vegjaðari↔avbyrgdur,garður,mark,randa
útlit	síframtíðarútlit,útsjónd,útsýni
útloft	síhøli
útlond	sístatur
útlongsil	síferðahugur,trá
útlongsul	síferðahugur
útlop	sílop
útlopin	síhjálpsamur
útloysing	síbjarging
útloysn	síbjarging
útlutaður	sísundurbýttur
útlutan	síbýti
útlúgvaður	síútmøddur
útlúgving	símáttloysi
útlægur	síheimleysur
útlærdur	sílærdur
útløga	síútreiðsla
útløgufressur	síketta
útløgukattur	síketta
útmaktaður	síútmøddur
útmark	símark,útlinja
útmeiggjaður	sískitin
útmið	sífiskileið
útmógvaður	síútmøddur
útmælagóður	sífrálíkur
útmælingshestur	síross
útmælingshundur	síhundur
útmælingsmaður	síavtakafólk
útmælingsseyður	síseyður
útmælingur	síavtakafólk
útmøddur	Samheiti:algoystur,andleysur,armadovin,armslitin,asaður,avmaktaður,avmáttaður,avmergjaður,avmøddur,avteipaður,avtuskaður,áttfarin,beindovin,beinlinur,borðdovnaður,bráðmóður,burturfánaður,dansimóður,deyðagivin,deyðamóður,deyðamøddur,deyðapøstur,deyðatroyttur,deyðgingin,deyðgivin,deyðlúgvaður,deyðmaktaður,deyðmóður,deyðmøddur,eftirmóður,ekkamóður,ekkamøddur,fallkomin,ferðamóður,fokkaður,forpøstur,forstríddur,forteipaður,fyrilagstur,givin,hálvgivin,hálvkvaldur,hálvkøvdur,høvuðlinur,kníggjalinur,knælinur,kykmóður,liðalinur,linur,lúgvaður,magnleysur,maktaður,maktarleysur,máttleysur,máttlítil,máttstolin,mergsogin,móður,mókaður,mókaligur,møddur,møðigur,møðumikil,niðurfyrikomin,niðurmøddur,overvaður,ovsleipaður,pøstur,royndur,sjótuskaður,slitin,sperðlaður,sprongdur,strongdur,teipaður,tervaður,tespaður,tiltuskaður,tiltýggjaður,tiltøssaður,tivandi,troyttur,turrgosin,tuskaður,túraður,týggjaður,tøssaður,uppstríddur,úrmaktaður,úrmergjaður,ússaligur,útarbeiddur,útasaður,útbrundaður,útervaður,úteykaður,útlemstraður,útlúgvaður,útmaktaður,útmógvaður,útpøstur,útsleipaður,útslitin,útstrevaður,útstríddur,úttaddaður,útteipaður,úttervaður,úttikin,úttuskaður,úttúraður,úttýggjaður,úttøddaður,válaður,várveikur,veiklaður,viknaðurá troti;bæði móður og troyttur, móður og túraður;dottin burtur í lort;fánaður burtur;givin í hond og fót;ikki gonguførur, gravarførur, veitarførur o.fl.;illa á hold, holdum komin, komin illa á hold;illa beintur, teipaður, tuskaður, túraður;illa fyri;komin til trota;linur í knøunum, kongunum;merktur av møði, overvan, strongd o.fl.;móður og illa tøssaður;móður og troyttur;móður sum maðkur;mókaður í knøunum;næstan fyrilagstur;sum ein útbrundaður veðragjólingur;sum náttstaðin;túraður til;tøssaður burtur í einki;□hann ber ikki fret í fatli;hann hevur mist bæði litir og læti, kennir seg byrjaðan;hann liggur (við) hvítumegin upp;hann setur ikki beinini undir seg, føturnar fyri seg, stendur ikki á beinunum;magin er uppi í kjafti;nú hevur stálið svikið hann;tað er ikki maktardropin eftir(elliveikur)ellibrekaður,ellidøkkur,ellifarin,elligráur,ellimerktur,ellisbrekaður,ellismerktur,elliveikur,elliviknaðurbogin, merktur, ússaligur, veiklaður, viknaður av elli;lagstur í seingina↔deyður,doyggja,fána,gálgamatur,hálvdeyður,ikki megna,kraftleysur,máttloysi,máttsúgva,overva,overving,sjúkur,troyttastAndheiti:ómóður
útnes	sínes
útnevna	Samheiti:innseta,kjósa,nevna,seta,tilnevna,uppnevna,veljaseta í embæti;seta í starv;taka í eið;velja inn, út(innlima)lima, melda e-n, seg inn;tekna sum lim(manna)fullmanna,skipabiðja, útvega (sær) fólk, manning;manna bát, lið, skip o.fl.;manna seg;manna út;skipa við fólk(prestvíga)vígavíga til prest, prestaembæti↔fullmannaður,manning,tilnevning,val,valdur,velja,vígsla
útnevning	sítilnevning
útnyrðingsnos	síillveður
útnyrðingsond	sívindur
útnyrðingsstormur	sívindur
útnyrðingsæl	síregn
útnyrðingur	síættir
útnyrðingur norðan	síættir
útnyrðingur vestan	síættir
útoddi	sínes
út og inn	síhigar og hagar
útoyggj	síoyggj
útoyggjarbygd	síbýur
útoyggjarmaður	sífremmandamaður
útpíndur	sísárur
útpjakaður	sítilbúgvin
útpjøssaður	síílatin
útpláss	síbýur
útprent	síavrit
útprýddur	sípyntaður
útpumping	sítøming,vasking
útpurring	sívekja
útpøstur	síútmøddur
útrak	síøska
útraksl	sívánamaður
útrakstrargeil	síkoyrivegur
útrakstrarrættindi	sírættindi
útrakstrarrættur	sírættindi
útrakstur	síavtøka,koyrivegur,rættindi
útras	sívánamaður
útrák	sístreymur
útreiddur	sítilbúgvin
útreið	síálop,ríðing,túrur
útreiðraður	sítilbúgvin
útreiðsla	Samheiti:byggikostnaður,eykakostnaður,eykaútreiðslur,ferðakostnaður,ferðapeningur,ferðaútreiðslur,framleiðslukostnaður,kostarhald,kosthald,kostnaður,kostnarhald,kostpengar,kostpeningur,livikostnaður,málkostnaður,málskostnaður,meirkostnaður,miðalkostnaður,nýtsla,rakstrarkostnaður,sakarmálskostnaður,støðgjald,tryggingargjald,umloysur,úrtøk,útlegg,útløga(leiga)ársleiga,festileiga,húsaleiga,jarðarleiga,kongsleiga,kúleiga,landskuld,landskyld,leigufløt,leigugjald,leigukostnaður,leigupeningur,leiguskinn,leigusmør,seyðaleiga,skipaleiga,slóttuleiga,slóttuleiv,slóttuleiva,slóttuleivur,smørleiga,støðugjald,torvheiðalamb,torvlamb,torvleiga,traðarleiga↔avgjald,gjald,prísur
útreiggj	sítúrur
útrend	sítúrur
útrendur	síheimleysur,ófriðarligur
útrensl	síá
útriv	síbrotsverk
útrivin	síhovin
útrokning	símetingSamheiti:bestikk,bókstavarokning,brotrokning,býtisútrokning,deiling,eftirútrokning,falding,fimisrokning,framrokning,frádráttur,greiðslurokning,høvuðrokning,líkindarokning,lutfalsrokning,millumrokning,renturokning,rokning,samanlegging,samanteljing,sannlíkindarokning↔rokna
útróðrarbátur	sísjófar
útróðrarboð	síboðan
útróðrarbygd	síinnløgupláss
útróðrardagur	sígóðveður
útróðrarfelag	sífelag
útróðrarferð	sífiskiskapur
útróðrarfiskur	sífiskur
útróðrarflís	sídáli
útróðrarfloti	sísjófar
útróðrarførur	sítilkomin
útróðrargarpur	sísjómaður
útróðrarhugur	sífiskihugur,sjóhugur
útróðrarleið	sífiskileið
útróðrarlíkindi	sígóðveður
útróðrarmaður	sísjómaður
útróðrarmatur	símatur
útróðrarpartur	sípartur
útróðrarpláss	síinnløgupláss
útróðrarskrín	síkassi
útróðrarveður	sígóðveður
útróður	sífiskiskapur
útrógvandi	síatkomandi
útrun	sírák
útruni	síáarmunni
útrunnin	sígrógva
útryðja	síútlinja
útryðjubýlingur	síbýur
útryðjuhvítur	sílitaður
útryðjulitaður	sílitaður
útrætt	síjarðarstykki
útrætta	síarbeiða,enda
útrættur	síbeinur,endilangurSamheiti:stívur,útbreiddur,útstrekturvið opnum ørmum↔beinur,fatna,fattur,vatnrættur,veipan
útsavn	sígoymsla
útseta	sífresta
útseting	sífrest,viðseting
útsettur	sífresta
útsetur	síluteind
útsíða	síveggur,yvirflati
útsjón	síútsjónd,útsýni
útsjónd	Samheiti:andlitsbragd,andlitsbrá,andlitsdrag,andlitsgrein,andlitsskap,andlitsyvirbragd,ásjón,ásjónd,ásýnd,ásýni,bragd,bragdan,brá,drag,eygbragð,eygnalag,eyglit,formur,høvuðburður,høvuðkast,høvuðlag,ilskubragd,kropsburður,likamsburður,limaburður,limalag,skap,skortbílæti,skortbrøgd,skortmynd,upplit,uppsikt,útlit,útsjón,yvirbragd,yvirbragð,yvirbrá,yvirbregði(vakstrarlag)fólkaskapilsi,konufólkaskapilsi,kropsbygnaður,lag,líki,skap,skapilsi,skapnaður,skikkur,skøffilsi,vøkstur(snið)bygnaður,byggiháttur,byggingarháttur,byggingarlag,byggingarstílur,byggisnið,byggistílur,húsasnið,klædnasnið,rundbogastílurgotiskur, romanskur o.fl. stílur(prentsnið)stavsniðílating;skýgerð↔andlit,hyggja,síggjast,sjónligur,útsýni
útskavaður	sítilbúgvin
útskaving	sívasking
útskáli	síhøli
útsker	sísker
útskering	Samheiti:karnis,krot,krotuverk,linoliumsskurður,myndaskurður,skurður,skurðverk,steinskurður,træskurður,útskurður↔avmynda,list,mynd,skera út
útskifting	síbýti
útskiftingarnevnd	sívald
útskiftur	sísundurbýttur
útskinn	síyvirflati
útskoling	sívasking
útskorin	sískera út,tómur
útskot	síavlop,kloddakot,streymur,vánafólk
útskotshorn	sívinkul
útskotshús	síóruddiligt høli
útskotspakk	sívánafólk
útskotssteyri	sístrika
útskráaður	síhallur
útskrift	síavrit,áskrift
útskrivaður	síarbeiðsførur
útskrýddur	sípyntaður
útskræddur	síhovin
útskurður	síútskering
útslag	sísvullur
útsláttur	síbakbrot
útsleipaður	síútmøddur
útslipaður	sískitin
útslitin	síslitin,útmøddur
útsmurdur	sískitin
útspillari	síbaktalari
útspilling	síbaktal
útspiltur	síspottaður
útspílaður	síhovin,strektur
útspruttaður	sískitin
útstanda	sípínast,uppliva
útstandur	síbaksan,levind
útstoytur	sístreymur
útstrektur	síendilangur,útrættur
útstrevaður	síútmøddur
útstriking	síavtøka
útstríddur	síútmøddur
útstrond	sístrond
útstykkjaður	sísundurbýttur
útsúgur	sírák,streymur
útsúgving	sískiljing,súgving
útsveimin	síflogsutur
útsvøltaður	sísvangur
útsvøvntur	síalvakin,ómóður
útsynningsfleyr	sívindur
útsynningslot	sívindur
útsynningsond	sívindur
útsynningsstormur	sívindur
útsynningsveður	síillveður
útsynningsvetur	síillveður
útsynningsæl	síregn
útsynningur	síættir
útsynningur sunnan	síættir
útsynningur vestan	síættir
útsýni	Samheiti:bátasýni,bátssýni,sýni,tekt,útlit,útsjón↔hyggja,síggja,síggjast,sjón,sjónligur,útsjónd,útsýnt
