samanskotsgildi	síveitsluhald
samanskrift	sískrift
samanskryktur	sírukkutur
samansmokkaður	síniðurdottin
samansnerktur	sírukkutur
samansokkin	síframyvirboygdur,niðurdottin,samankomin
samanspardur	sísparing
samansparing	sísparing,yvirskot
samanspæl	sífelagsskapur
samanstappaður	síførligur
samanstoytur	sísamanbrestur
samanstungin	síframyvirboygdur,førligur
samanstúgvaður	sísamankomin
samanstúvaður	síførligur,samankomin
samansvollin	síniðurdottin
samansvorin	sísamansjóðaðir
samansvornir	sísamansjóðaðir
samansvørjing	sífelag
samantaldur	sítilsaman(s)
samanteljing	síuppreksan,útrokning
samantikið	síhava til úrslit
samantrunkaður	sísamankomin
samantvinnaðir	sísamansjóðaðir
samantvinnaður	sífløktur,samansjóðaðir
samantyrptur	sísamankomin
samantøkutrýst	sítrýst
samantøvdur	sísamankomin,tøva
samanumtikið	síhava til úrslit,ofta
samanvaksin	síniðurdottin,samankomin
samanvavdur	sífløktur
samanvavstur	síblandingur,vavstur
samanvovin	sífløktur
samarbeiða	sísemjast
samarbeiði	sífelagsskapur,semja
samarvingi	síarvingi
samábyrgd	síábyrgd
samband	sífelagSamheiti:álinjusamband,brævasamband,brævaskifti,evnasamband,fastasamband,ferðasamband,ferjusamband,fjarskifti,fjølsamskifti,handilssamband,hugasamband,hugmyndasamband,hugsanaflutningur,jarðsamband,kynsamband,listasamband,nærband,orðasamband,persónssamband,ríkissamband,samferðsla,samgonga,samskifti,telefonsamband,telesamskifti,tilknýti,tjóðasamband,vegasambandsínámillum samband
sambandsríki	sístatur
sambera	sísamanbera
sambiðil	símótstøðumaður,unnustar
sambinda	sísameina
sambinding	sísamanlegging
sambindingarorð	síorð
samborgari	sígranni
sambrot	sísjóvarilska
sambróðir	sískyldfólk
sambræðing	síbræðing
samburður	sísamanbering
sambúgv	síbúskapur,ogn
sambúgvi	síavvarðandi,leyslyntur persónur
sambygdarmaður	sígranni
sambygt	síavtakin
sambýli	síbústaður
sambýlisplanta	síurt
sambæri	sílíkskapur,semja
sambæriligur	sílíkur,sannur
sambærligur	sílíkur,sannur
sambært	sílíkur
samdir	sísamdur
samdráttur	síblídni,samandráttur
samdrigin	sítokutur
samdur	Samheiti:fullsamdur,samhugaður,sammæltur,samsintur,sáttursamdur, samsintur við e-n;við somu áskoðan, hugsan (sum hin);sum er komin til sættis (við e-n);sum heldur, meinar tað sama (sum  hin);sum heldur við e-m, tekur undir við e-m(samdir)sameindir,sammæltirav einum huga;á einum máli;einmæltir, sammæltir í, um at...;í felagsskapi, samdrátti;í sátt og semju, í semju;við somu áskoðan, hugsan, meining (báðir);sum ein maður;○sum eru komnir til sættis;sum halda, meina eitt, tað sama (báðir);□báðir draga eina lína, skíta av einari reyv;báðir rógva, sita í sama borði;tað var einmælt samtykt↔ásanna,felagsskapur,mekla,samanlegging,samansjóðaðir,sameina,semingsmaður,semja,semjast,vinurAndheiti:ósamdur
samdøgurslag	sítónalag
samdømi	sísamanbering
sameigari	síeigari
sameina	Samheiti:sambinda,samskipabinda, føra, leggja, seta, sjóða, skipa saman;fáa at virka saman↔felagsskapur,samanlegging,samansjóðaðir,samdur,semjast
sameinast	sísemjast
