ganga	síeydnast,feingja,horva,hovna,líða,ljóða,toruslátturSamheiti:gá,slóða,spora,stíga,táa,traðka,treða,trína,troðabrúka apostlarnar;flyta fótin, føturnar;ganga framvið (t.e.) stiðja seg framvið;ganga, taka nøkur fet;taka fet;vera á gangi;vera til gongu(fjakka)dreiva,ferðast,flakka,mala,meyka,ranka,rankast,reika,rekast,reyla,sjorast,skóka,skókra,slabba,slanka,slankast,sleingjast,sleiva,slóma,sløðast,snøklast,strella,streyla,svaga,sveima,vakka,vanka,vappa,vála,vimsaganga aftur og fram;ganga eina umleið, ein umveg, ganga sniðgøtur, umvegir;ganga og fesja, mala, reika, streyla, stræta, teiga, tvassa, vála o.fl.;ganga og mala uppi á gólvinum, upp um gólvið;ganga og ranka og slanka;ganga og rankast, sjorast, sleingjast, slettast, sløðast;ganga og stima um bygdina;ganga og svaga;gera eitt slank, rend;mala út og inn;reika, strúka, sveima, øna um;renna húsamál;strúka hús úr húsi;vera á reikum;vimsa aftur og fram(gleiva)feta,gina,spankulára,stima,táa,teiga,teina,teita,tenja,turnafara gleivandi;stíga stórum(halta)hikka,hilka,hinka,hælka,staka,stikafara, ganga haltandi, hilkandi o.fl.;staka, stika á, á beinunum(hálvrenna)jogga,smárenna,smáspora,trágangaaltíð vera á fleyggj, uppi á fjórum;bruka avstað;ganga hart, skjótt, við ferð;ganga hergongu, orkugongu;ganga seg upp í skúm;ganga spreingigongd, spreingisgongd, spreingisgongu, sprongdargongu(kleyva)hógva,hóva,kleyra,pleira,pleyra,slóða,spora,tvassadraga runu við sær, dálka;kleyva alt til, upp(ragga)dagga,darla,darra,darta,deiga,dirla,dirtla,dratla,kara,klumsa,labba,róla,rugga,slóa,tava,táa,tvagga,tvagla,vappadraga føturnar eftir seg;fara, koma tvaglandi;ganga seigliga, slettandi, tungliga;hava seinligt, lorkut, tenjandi gongulag;koma rólandi aftaná;vappa sum æða í eggrás;vera stetlaraligur(spáka)smáfeta,stappafara ein slankitúr, túr;fara, ganga spákandi, tavandi, teigandi, togandi, tuflandi;ganga fet fyri fet, fót fyri fót(stetla)gimsa,pempa,stakra,stekra,steyta,stinta,stólpa,strilta,støpla,tortla,tritla,tøtlaganga stintandi, við stívum beinum, vera stívbeintur;vera dreivføttur, fótaleysur, sløðrutur o.fl.(stræta)flogsa,ranka,rankast,slentrast,slettast,travaljaganga og slettast, stræta(tita)darta,fipa,lappa,pempa,tritla,tøtlahava kvikligt gongulag;stíga títt og stutt;tita títt(trampa)bruka,traðka,tramsa,trumma,trumsaganga óstortliga(tvassa)tramsa,traska,travsa,tøssa,tvarraganga í vætu, ganga og runast(vingla)glorva,hólka,hólpa,ragla,reyla,ridla,riða,rinka,skinkla,skjølka,skjørsla,slangra,slóma,sløðra,sløtra,stakra,stikla,stumbla,stumla,støpla,svagga,sveiga,sveiggja,tufla,tvaglast,tvørdansadetta, fara framyvir;fara, ganga hoppandi, hólkandi, nakkandi, stappandi, steytandi, stútandi;fara, ganga kneykandi, kneykrandi, knikkandi, knuggandi, knukkandi;fara, ganga koma deigandi, dintlandi, dreivandi, fansandi, fjatlandi;fara rólandi, slangrandi, stekrandi, stetlandi, stólpandi, stýrandi, vinglandi;fáa ávøgu;fáa eina rend;fáa, sláa eitt sløðr, sløður;ganga dettandi, hólkandi, støplandi, vinglandi o.fl.;koma tvørdansandi;regla, reyla á beinunum;riða, stikla á;ríða yvir;vavla á beinunum;vera óstúttur, óstøðugur, ótryggur (á beinunum);vera skinklutur, skjørslutur, vinglutur í gongulag;□føturnir vóru sum harraleysir hundar↔falla,ferðast,fótafet,førka,gonga,grulva,innføttur,letast,leypa,lop,óstúttur,renning,skreytgonga,skunda sær,snáva,spor,traðka,túrur,útføttur,vinglan,vitja
ganga í bøin	sístjala
ganga ígásagongd	sírása
gangandi	síatkomandi,landvegin
gangarahestur	síross
gangari	síross
gangast	síeydnast
ganga upp fyri javnt	síjavnviga
ganga ørindi	síørindi
gangstari	síbrotsmaður
