eiga	síføða,megna,ognSamheiti:havabera, hava kannu(na) av e-m;bera kannin av e-m;eiga á;eiga á goymslu, framíhjá, í handraðnum, til varavissu;eiga fótin fastan (í bygdini);eiga, hava í veranum;eiga inni;eiga sær;hava e-t undir fótunum t.e. eiga nakað av jørð;hava fingið;hava í hevd, ogn;ráða yvir;vera illa, væl birgdur, fyri, staddur, útgjørdur við...(eiga í e-m)eiga lut, part í;eiga saman við e-m;eiga uppií, uppi í e-m;føða (kúgv) saman við e-m;vera sameigari(eiga í felag)eiga felags, saman;vera felags, saman um e-t;vera sameigarar;vera tveir um at eiga(hava rætt til)eiga uppiborið,líknast,lutasteiga av røttum;hava rætt til, hava uppiborið;hava slitið fyri e-t↔eigari,fáa,ogn,peningur,ríkmaður,ríkur,rættindi
eigamál	sídýrgripur
eigandi	sívakur
eigarafelag	síeigari
eigari	Samheiti:ánari,áognari,eigarafelag,eigarmaður,handhavi,húsaeigari,húsánari,íognari,kravánari,luthavi,medeigari,ognari,partaeigari,partamaður,parteigari,parthavari,sameigari,samognarie-r sum er luteigandi, luthavandi(loyvishavi)e-r við loyvi↔eiga,fáa,ogn,partamaður,peningur,ríkmaður,ríkur
eigarmaður	síeigari
eiga uppiborið	síeiga
eiggiliga	sídyggiliga,ógvuliga
eiggiligur	sídýrur,vakur
eiggin	sívakur
eiggj	sísindur
eiggjamál	sídýrgripur
eigiligur	sívakur
eigindómsbygd	síbýur
eigindómsmaður	síjarðyrkismaður
eigindómur	síogn
eiging	síføðing
eik	síviður
eikikol	síbrenni
eikilunnur	sílunnur
eikimála	sípensla
eikitræ	síviður
eikiviður	síviður
eikja	sísjófar
eimast	síloga
eimingur	síeldur
eimur	síeldur
eimyrja	síeldur,smakkur
ein	síeinsamallur,líkur,nakar
eina	síeinans,einsamallur,næstan,umleið
einaferð	sífyrr,ikki enn,nakrantíð,umsíðir
einahandil	sísølubúð
einaharri	síóflýggjakroppur
einalærari	sílærarafólk
einans	Samheiti:aleina,bara,barasta,barastani,bert,eina,einast,einastaeina og aleina;eingin uttan;ikki annar, fleiri, meira enn...;nøgt og snøgt, nøggur og snøggur↔bart út,beinleiðis,einsamallur,einskærur,fáur,júst,lúkst,nakar,sjálvur,tú
einaræði	sívald
einarættur	sírættindi
einast	síeinans,semjast
einasta	síeinans
einastaðni	síymsastaðni
einastova	síhøli
einastur	síeinsamallur
einavald	sívald
einaveldi	sívald
einbeintur	síbeintur,brekaður
einbíldutur	sílitaður
einbíltur	sílitaður
einbílutur	sílitaður
einborin	síeinsamallur
einburðarlamb	síseyður
einburðlamb	síseyður
einburður	síseyður
einburi	síbarn
einbúgvi	Samheiti:einbýlismaður,einibúgvi,einsleingismaður,hellisbúgvi↔búgva,bústaður,einsamallur,íbúgvi,niðursetufólk,persónur
einbýli	síbýur
einbýlingur	síbýur
einbýlishús	síbygningur
einbýlismaður	síeinbúgvi
einbýttur	síóskerdur
eind	síeintak,felag,luteind
