øða	síarga,storma
øskustreymur	sístreymur
øskutorv	síbrenni
øskutøð	síkøstatøð,øska
øsn	sífyrireiking
øsna	síkvennvera,møsna,putla,ross
øsnast	síputla
øsnufoli	síross
øsnutur	símøsnutur
øsp	síviður
øspabuttur	síviður
østur	sívreiður
øtan	síræðsla
øtandi	síræðandi
øtast	síógvast,ønskrast
øtiliga	síógvuliga
øtiligur	símikil,nógvur,ræðandi
øtla	sígera aldu,storma
øtlandi	sívaksandi
øtla veðrið	sístorma
øtuligur	síræðandi,nógvur
øva	sílæra seg,storma
øvigur	síaftureftir,andstaddur,avveltur
øvugur	síaftureftir,andstaddur,avveltur
øvund	sítrá
øvunda	sítráa
øvundarkona	sífíggindi,øvundarmaður
øvundarmaður	sífíggindiSamheiti:brell,mungubiti,mungupetti,øvundarkona,øvundismaður,øvundsmaður↔trá,tráa,øvundsjúkurAndheiti:vinur
øvundarorð	síspottorð
øvundarverdur	sífrálíkur
øvundast	sítráa
øvundismaður	sífíggindi,øvundarmaður
øvundsjúka	sítrá
øvundsjúkur	Samheiti:avindsjúkur,avundsjúkur,metingarsamur,natigur(grammur)fáin,fýsin,gessigur,gessin,girndarfullur,girndarmikil,girndaróður,grimdarmikil,grískur,lostamikil,lystigur,lystugur,nærsøkin,nærvorðin,ránakendur,ránfúsur,ránskur,tráfikin,tráfikkin,trásjúkuralspentur, altráin, altráur, argur, fýsin, íðin, óður, ringur, sjúkur eftir...;grammur, grískur eftir fáningi;grammur, hippin á...;óður eftir verðini;○sum fegin vil hava e-t, hevur hug á e-m;□hann er sum fjandin, hin versti eftir sálini;hann er sum ketta eftir fjørumati;hann gongur bondini av sær (eftir e-m);hann kundi lopið í havið eftir tí(mungutur)brellin,brellutur,góðgutur,helrógvin,marglatin,mungin,sleikin,søtmunginóður eftir søtum(tráandi)bátsjúkur,langtandi,stundandivið langtan, longsli(svartsjúkur)eljusjúkur↔hugspentur,natin,trá,tráa,øvundarmaður
øvundsmaður	sífíggindi,øvundarmaður
øvutikjaftur	sífiskur
øvutumegin	síandstaddur,óneyvur
øvutur	síaftureftir,andstaddur,avvelturSamheiti:galin,óður,órættur,rangsnúgvin,rangur,rangverdur,rangvørgur,skeivur,tvíballaður,tvørballaður,tvørballutur,tvørvendur,viðvendurá ranguni;vendur við;við ranguni út(eftir);við rættuni inn(eftir);□hatta vendir galið, ótt, skeivt, øvut o.fl.(spegilsvendur)speglvendur(hatta stendur á høvdinum)tað sum vendi niður vendir upp(knappa skeivt)knappa, kneppa upp á rús;knappa rús;kneppa skeivt(hava skeivt upp á bein)ganga hanabein;hava lundabein, lundaføtur, tarvabein;hava ótt (upp) á bein;hava upp á galna fót;vera kúgvarbein, neytabein, neytakleyv, ólafótur↔andstaddur,munur,rangsnúgvaAndheiti:rættvørgur
