lán	Samheiti:bankalán,bráðfeingislán,brævalán,brævlán,byggilán,húsalán,innlán,kassalán,lestrarlán,námslán,rakstrarlán,sparikassalán,studningslán,útgerðarlán,veðhaldslán,veksil,útlánlangfreistað, stuttfreistað lán(lántøka)lígging(lánveiting)lángáva,lánsveiting,lígging(skuldarbræv)lánbræv,lánsbræv,skuldbræv,veðbræv,veðskuldarbræv(skuldbinding)yvirdráttur(bókaútlán)útlán av bókum↔hava skuld,lána,lánistovnur,skuld
lána	Samheiti:líggja,lænafáa, taka lán;fáa til láns;hava líggjaðan, læntan lut;lána, líggja, læna frá e-m;taka veksil;vera lánari, skuldari(lána)líggja,lænageva, lata, veita lán;geva, veita til láns;lána, líggja, læna e-m e-t;lána, læna e-t út;seta e-n í skuld;seta e-t á skuldasíðu hjá e-m;skriva e-n sum skuldara;skuldbinda, skuldskriva e-n↔borga,hava skuld,lán,lánistovnur,skuld
lánari	sílána
lánbræv	sílán,peningur
lánføri	sífíggjarviðurskifti,líkindi(r)
lánførur	síríkur
lángáva	sílán
lángevari	sílánistovnur
lángevi	sílánistovnur
lánistovnur	Samheiti:banki,peningastovnur,seðlabanki,sparikassi,tjóðarbanki,tjóðbanki,útbanki,vinnulánsgrunnur(lánveitari)lángevari,lángevi,lánsfelag,útlán,útlánsdeild,útlánsfelag,veðlánsfelag↔lán,lána,grunnur,hava skuld,skuld
lánka	síaftra seg
lánkaligur	sístøðuveikur
lánkasliga	Samheiti:gjánkaliga,gjánkasliga,honkasliga,jánkaliga,jánkasliga,kaldliga,linliga,lorkusligavið lítlum, ongum áhuga↔lítillátin,mótfallin,smæðin,støðuveikur
lánkasligur	sístøðuveikur
lánkutur	síbusutur
lánorð	síorð
lánsbræv	sílán,peningur
lánsdoktari	sívaramaður
lánsfelag	sílánistovnur
lánsfæ	sípeningur
lánslækni	sívaramaður
lánslærari	sílærarafólk,varamaður
lánsmaður	sívaramaður
lánsmóðir	símóðir
lánspeningur	sípeningur
lánsprestur	sívaramaður
lánsveiting	sílán
lántøka	sílán
lánveitari	sílánistovnur
lánveiting	sílán
lár	sífuglur
lára	sífuglur
lás	Samheiti:billás,byrsulás,finnulás,heingilás,hespulás,hjalslás,hurðarlás,hvølpalás,kistulás,knabbalás,knarvalás,lásur,lásútbúnaður,læsing,naddalás,nýralás,skápslás,smellilás,sperðilslás,súkklulás,turkaláskrókur og lykkja(steingil)botnknappur,bummur,dragulás,festa,handjarn,hálsjarn,hárspenni,hekti,hespa,hurðarloka,karðalás,klinka,knarvi,krampi,krókur,lásnál,loka,læsinál,læsingarpinnur,læsiringur,møtlaspenni,nokkapinnur,pitil,ránasteingil,rennilás,róðursteingil,silvurspenni,silvursylgja,skekul,slá,snarlás,spenni,spensl,sprita,skalkijarn,stongil,stongsil,sylgja,vegbummur(baklás)fara, koma í baklás;vera í baklási↔afturlatin,lok,steingja
lásadylla	síspann
lásaleysur	síupplatin
lásbora	síhol
lásbori	síhol
lásnál	sílás
lásur	sílás
lásútbúnaður	sílás
